,BELTON LAKE,LAKE WHITNEY,AQUILLA LAKE,LAKE WACO,PROCTOR LAKE,POSSUM KINGDOM LAKE,LAKE GEORGETOWN,GRANGER LAKE,LAKE LIMESTONE,STILLHOUSE HOLLOW LAKE,SOMERVILLE LAKE,LAKE GRANBURY,SAM RAYBURN RESERVOIR,B A STEINHAGEN LAKE
2/26/1981,0.027348466,0.001401447,0,0.001237186,0,0,0.126439579,0.437345412,0.003721494,0.023572066,0.284801052,0,0,0.005356182
2/27/1981,0.000244506,0,0,0,0,0,0.000113544,0.028501868,0,0,0.006889489,0,0,0
2/28/1981,1.583380522,1.736482367,2.470102636,2.567776122,3.028829235,27.3725674,3.84562311,2.271809366,0.246488394,1.184886932,0.199903813,5.491635733,0.046577346,0.226218218
3/1/1981,18.32151416,23.24169437,25.37407627,20.84146909,26.95547375,7.536243194,7.952476323,9.22381376,14.16249739,11.31893646,7.687938543,19.1825605,4.477810297,8.163895983
3/2/1981,0.052709793,0.64114331,0.843228946,0.121724123,0.238862824,0.314975453,0.529140307,1.261917264,5.333974772,0.162914108,4.054259926,0.081777028,14.98180503,9.569687693
3/3/1981,4.390724159,3.220438511,1.642331578,3.532556618,8.994973077,2.312609874,9.975366322,7.187508667,0.55198991,7.008303158,5.040693356,4.490277981,0.071075467,0.084542244
3/4/1981,19.98086421,26.57276449,21.82157098,22.72772196,29.52444309,17.71927791,10.54462013,21.71552492,19.88843491,15.08420903,21.13373479,42.49538219,32.66341659,33.63629254
3/5/1981,0.106072808,0.05644349,0,1.14942831,0,0.096235538,0,0,0,0,0,0.528128893,0.529309201,0.357535483
3/6/1981,0.618675437,0.000239602,0,1.106316957,0,0.005252601,0,0,0,0,0.032612276,0,0,0
3/7/1981,8.361427794,8.360550644,2.352636844,11.64515994,20.19121928,7.511393829,6.767404716,6.927510018,4.572570109,5.984917361,1.690206913,13.08647214,0.078825302,0
3/8/1981,4.021810246,4.983289315,12.51289735,3.400445599,0.489478595,1.806445297,1.495152748,4.515103044,9.395428849,2.879169958,1.182318179,5.229281113,3.959453429,5.851194022
3/9/1981,0.053584883,0,0,0,0.217323664,0.074740435,0,0,0,0,0,0.002622435,0,0
3/10/1981,0,0,0,0,0,0.508921035,0,0,0,0,0.007022352,0,0,0.066036593
3/11/1981,0.243040328,0.016681736,0,0.079724289,0.100036786,0.470767929,2.601389541,2.435547091,0,1.439763891,0.099950175,0.002392972,0,0
3/12/1981,12.95077277,0.018789331,8.68E-05,3.846270676,9.020703735,0.706210671,15.21946752,14.063201,2.473988893,15.65449661,1.66690056,0.280095062,0,0
3/13/1981,3.74250392,0.503988695,1.528768415,2.31114542,0.589041425,0.035482763,8.502911609,8.633537131,2.388199798,5.848892917,7.444630812,0.002327411,2.022043272,2.934079449
3/14/1981,0,0,0,0.014281994,0,1.833838911,0,0,0,0,0,0,0,0
3/15/1981,0,0.000536166,0.494473682,0,0.000243109,3.194330379,0,0,0,0,0,0.115791647,5.79E-05,0.001026167
3/16/1981,0,0,0,0,0,0.033232139,0,0,0,0,0,0,0,0
3/17/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06977684
3/18/1981,0,0,0,0,0,0.006410429,0,0,0,0,0,0.249340129,0.014330193,0.019478676
3/19/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/20/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/21/1981,0,0,0,0,0,0,0,0,0,0,0.007033423,0,0,0
3/22/1981,0,0,0,0,0,0,0,0,0,0,0,0,2.066796694,1.582415746
3/23/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/24/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/1981,0,0,0,0,0,0.424270006,0,0,0,0,0.032612276,0,0,0
3/26/1981,0.362438722,3.274891502,8.146828913,2.999157156,0.261314709,0.193036749,0,0.136682805,2.028855704,0.036865522,1.43112034,2.220452051,0,0.000680075
3/27/1981,0,0.001938065,0,0,0,0,0,0,0,0,0,0,0,0
3/28/1981,0,0,0,0,0,0.804071919,1.846269262,2.562467868,0.052446014,0.357491999,0.147741331,0.337049761,0,0
