date,BRAZOS,NECHES
1895-01-31,5.395950561678705,8.006534792132337
1895-02-28,2.5055604299931944,4.860939126190789
1895-03-31,13.307870056698397,14.660217408780724
1895-04-30,18.788590329373502,18.92742567513745
1895-05-31,21.783483099665492,21.735671802258405
1895-06-30,25.58475677673386,25.899354943025383
1895-07-31,26.85292120804721,27.47660634633586
1895-08-31,27.819532371182728,27.785058205838194
1895-09-30,25.993940856024604,26.40799928194662
1895-10-31,16.43461196704387,17.2663674347447
1895-11-30,10.155164376037733,12.718036249377274
1895-12-31,7.216915756924242,9.835405735599704
1896-01-31,7.562114435823524,8.601657370057016
1896-02-29,9.43412816480879,11.143821553473291
1896-03-31,11.60404763811361,13.516443690000585
1896-04-30,19.747793056967982,20.770203572687723
1896-05-31,25.418910793373072,25.09042436011471
1896-06-30,28.387508500616384,27.103244118513096
1896-07-31,28.32630423865779,28.93959596320384
1896-08-31,29.01773433409762,29.344440188013373
1896-09-30,23.917133135009706,25.49167569626109
1896-10-31,17.39873635589701,18.62930737338945
1896-11-30,11.686234080314367,15.208221394002381
1896-12-31,9.007403797837144,10.446153952168258
1897-01-31,3.938750188442161,7.254328817756781
1897-02-28,9.786284758645685,12.079508903412934
1897-03-31,14.23228461220904,17.49498351715126
1897-04-30,17.40254974070374,18.933931623526647
1897-05-31,21.660895321411385,22.173457795865225
1897-06-30,26.027784152144097,26.808647434047675
1897-07-31,28.988423560560026,28.97802521150171
1897-08-31,27.513924506091957,27.86877285736367
1897-09-30,24.135212161315046,24.806822261116416
1897-10-31,19.95228561960381,21.372299305353096
1897-11-30,12.788259902096309,14.334681070336098
1897-12-31,6.10509996126266,8.92519667286749
1898-01-31,8.319484205392456,11.592738663992645
1898-02-28,10.313080205489126,11.931564472791313
1898-03-31,13.078171896941804,15.55252568982574
1898-04-30,17.205716583862607,16.955396226505805
1898-05-31,22.466065563422507,23.27871466964556
1898-06-30,26.11131595427061,26.242750654649253
1898-07-31,27.639572500717,27.23439244459029
1898-08-31,27.19144128400822,27.32214018018733
1898-09-30,24.318778367918842,25.255808317851848
1898-10-31,18.235610447674343,18.46066865083603
1898-11-30,10.086690467534355,11.438903594999772
1898-12-31,4.091641888508134,7.284541329360697
1899-01-31,5.577694422370341,8.51863936068984
1899-02-28,2.1949074180855326,4.813063180050748
1899-03-31,13.020100371930972,15.54889382681409
1899-04-30,17.19110457354158,17.918417596724428
1899-05-31,24.032571772623097,25.16165261630928
1899-06-30,25.78248917009692,26.25109241512819
1899-07-31,27.120623237915606,27.891607600298222
1899-08-31,30.144869501024065,29.348322450387307
1899-09-30,24.245638987856683,23.826656532983396
1899-10-31,20.334691482105036,20.69355869255552
1899-11-30,13.369713657098078,14.498366791940063
1899-12-31,7.233182408822743,9.297840708727824
1900-01-31,8.163307738256535,9.6881447265827
1900-02-28,7.425847119640176,9.749129642534163
1900-03-31,13.100531516073497,14.591174014150381
1900-04-30,17.265424778473605,19.00393552245965
1900-05-31,21.402277331006555,22.497284834677757
1900-06-30,26.84330387900029,26.620608172477688
1900-07-31,27.26034349261597,27.426902799489348
1900-08-31,27.132133012590483,27.480717608921474
1900-09-30,25.767402314764567,27.292253725266892
1900-10-31,20.433633540580807,20.95797369271588
1900-11-30,13.034374341162726,14.567976691361448
1900-12-31,8.51708588972464,10.069830466635509
1901-01-31,9.44628753892623,11.410539539021162
1901-02-28,6.7297355178834835,9.320889761831662
1901-03-31,13.188738643862385,14.352641787543034
1901-04-30,16.923080764707255,16.93187771217868
1901-05-31,22.214402524826657,22.21431893547691
1901-06-30,27.67850573237236,26.993542474212965
1901-07-31,29.46978896730953,28.494137417214727
1901-08-31,29.52691754312194,28.467512218984314
1901-09-30,24.774423449739132,23.884803505301555
1901-10-31,20.463127247912414,19.384165019358303
1901-11-30,13.408255833658995,13.408377683326814
1901-12-31,7.094379362322271,8.027919690556098
1902-01-31,6.246624430197904,7.628371836883946
1902-02-28,7.388308173802965,8.483921839107945
1902-03-31,13.880017384681617,15.420130826126014
1902-04-30,19.816487487445574,20.390277067767276
1902-05-31,24.146524138092513,24.779160614787948
1902-06-30,28.337001366676496,27.492328635798557
1902-07-31,27.40082561720839,27.37527043201009
1902-08-31,29.415992805729218,29.120718985286583
1902-09-30,23.134116656410455,23.677163834450525
1902-10-31,18.718897887933522,19.43055238810954
1902-11-30,14.490592445862323,16.82991336755761
1902-12-31,7.281421460151034,9.806523639809969
1903-01-31,7.318238791180222,8.936767855195844
1903-02-28,5.6302461083927815,9.26287186262965
1903-03-31,12.162998679098713,15.031301355787091
1903-04-30,17.738325076309412,18.349842958640842
1903-05-31,20.527218597355574,21.288871080948994
1903-06-30,22.832802500385284,23.093632127665366
1903-07-31,27.8241480490931,26.84256833920161
1903-08-31,27.970773811600377,27.469508529653915
1903-09-30,23.399472840216028,23.595768492857346
1903-10-31,17.70175153585168,18.089125633596275
1903-11-30,11.84263543395373,12.85718926285941
1903-12-31,8.379334052408321,9.304321891653752
1904-01-31,6.388531825936509,7.839662836620409
1904-02-29,10.95365610623507,13.044883919654488
1904-03-31,17.045828665381062,17.617989450194276
1904-04-30,18.202437882666437,17.93722017478573
1904-05-31,22.185747929245807,22.197847231224102
1904-06-30,25.79535959690853,26.409798459294322
1904-07-31,27.711262746769943,27.066208316270775
1904-08-31,27.46898153183343,26.946981508525834
1904-09-30,24.889125159047847,26.0084677448664
1904-10-31,19.58956754269236,20.542789914906383
1904-11-30,12.738995516291663,13.99903818537377
1904-12-31,7.908412079777197,9.874879900419304
1905-01-31,4.368067135711593,6.223951933212505
