,Soil Moisture at 0-40_BRAZOS,percent_full_BRAZOS,Soil Moisture at 40-80_BRAZOS,Soil Moisture at 0-80_BRAZOS,Soil Moisture at 0-40_NECHES,percent_full_NECHES,Soil Moisture at 40-80_NECHES,Soil Moisture at 0-80_NECHES
1979-03,0.3165437779272698,81.5,0.3306954151981643,0.323619596562717,0.3113835603877582,99.6,0.3333912555049835,0.3223874079463708
1979-04,0.3181825810078949,91.2,0.3380619146529035,0.3281222478303991,0.3099961956184136,99.6,0.3335925120663476,0.3217943538423806
1979-05,0.3202452552177802,95.9,0.3394729602651681,0.3298591077414741,0.2940798235551118,99.3,0.3193746981171227,0.3067272608361173
1979-06,0.3131187812624753,97.4,0.3388452677353246,0.3259820244988999,0.2817225137732029,99.4,0.3175686850934548,0.2996455994333288
1979-07,0.2839307348736904,97.6,0.3279182325820181,0.3059244837278542,0.2365446162916639,99.6,0.2827830301255553,0.2596638232086096
1979-08,0.272951303984867,97.3,0.3207145675256367,0.2968329357552519,0.24459002402315,93.4,0.2765762534768652,0.2605831387500076
1979-09,0.2603589279059133,96.2,0.3156422304398148,0.288000579172864,0.2423410873670607,83.3,0.2692581157075999,0.2557996015373304
1979-10,0.258153529561958,93.5,0.3120408038601751,0.2850971667110665,0.2565523372905569,81.9,0.2741470192282169,0.2653496782593869
1979-11,0.2675269617775114,91.3,0.3096441548535835,0.2885855583155475,0.2801761426852403,81.3,0.2791606275747338,0.279668385129987
1979-12,0.2799040413345981,89.3,0.3085219765710316,0.2942130089528148,0.2951238343548917,85.5,0.3037944315843113,0.2994591329696015
1980-01,0.2985136458936103,88.8,0.3156868342396005,0.3071002400666053,0.3005715272378419,88.6,0.3166069561187676,0.3085892416783047
1980-02,0.3024397901142868,86.1,0.3202593996745413,0.311349594894414,0.3027722434472245,94.6,0.3266845474229038,0.3147283954350641
1980-03,0.2917957945524644,86.8,0.3189048852993147,0.3053503399258895,0.2880094329010071,98.6,0.3088602418373827,0.2984348373691949
1980-04,0.2918382621527427,85.8,0.3176960913413832,0.304767176747063,0.2960426862335535,100.0,0.3181677825574256,0.3071052343954896
1980-05,0.309551989405352,85.8,0.3228699748498305,0.3162109821275913,0.2941133333702253,99.5,0.3168928342316736,0.3055030838009495
1980-06,0.2851058399301217,93.4,0.3228617714408189,0.3039838056854703,0.2399976606993853,99.3,0.2904949361929412,0.2652462984461632
1980-07,0.2512633564518265,92.1,0.3145658419035828,0.2829145991777047,0.1849064065700542,97.0,0.2574158460555999,0.221161126312827
1980-08,0.2319362771610697,85.8,0.308783823547107,0.2703600503540884,0.1593319087406331,89.5,0.2355445901393889,0.197438249440011
1980-09,0.2504935560300069,80.9,0.3070417718582792,0.2787676639441431,0.1457252552061415,82.4,0.2202840626871189,0.1830046589466301
1980-10,0.3056736164260679,83.1,0.3333140106731697,0.3194938135496188,0.153809243215009,78.0,0.2110676285504552,0.1824384358827321
