date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
1951-05-02,,,36370.0,36370.0,38.6,94250.0,0.0
1951-05-03,,,44540.0,44540.0,47.3,94250.0,0.0
1951-05-04,,,57400.0,57400.0,60.9,94250.0,0.0
1951-05-05,,,67400.0,67400.0,71.5,94250.0,0.0
1951-05-06,,,73250.0,73250.0,77.7,94250.0,0.0
1951-05-07,,,73130.0,73130.0,77.6,94250.0,0.0
1951-05-08,,,72000.0,72000.0,76.4,94250.0,0.0
1951-05-09,,,71330.0,71330.0,75.7,94250.0,0.0
1951-05-10,,,71890.0,71890.0,76.3,94250.0,0.0
1951-05-11,,,72340.0,72340.0,76.8,94250.0,0.0
1951-05-12,,,74040.0,74040.0,78.6,94250.0,0.0
1951-05-13,,,74730.0,74730.0,79.3,94250.0,0.0
1951-05-14,,,75540.0,75540.0,80.1,94250.0,0.0
1951-05-15,,,76010.0,76010.0,80.6,94250.0,0.0
1951-05-16,,,76240.0,76240.0,80.9,94250.0,0.0
1951-05-17,,,76360.0,76360.0,81.0,94250.0,0.0
1951-05-18,,,76950.0,76950.0,81.6,94250.0,0.0
1951-05-19,,,76950.0,76950.0,81.6,94250.0,0.0
1951-05-20,,,76600.0,76600.0,81.3,94250.0,0.0
1951-05-21,,,76010.0,76010.0,80.6,94250.0,0.0
1951-05-22,,,75300.0,75300.0,79.9,94250.0,0.0
1951-05-23,,,74620.0,74620.0,79.2,94250.0,0.0
1951-05-24,,,74390.0,74390.0,78.9,94250.0,0.0
1951-05-25,,,73130.0,73130.0,77.6,94250.0,0.0
1951-05-26,,,71560.0,71560.0,75.9,94250.0,0.0
1951-05-27,,,70440.0,70440.0,74.7,94250.0,0.0
1951-05-28,,,68910.0,68910.0,73.1,94250.0,0.0
1951-05-29,,,67400.0,67400.0,71.5,94250.0,0.0
1951-05-30,,,66660.0,66660.0,70.7,94250.0,0.0
1951-05-31,,,66660.0,66660.0,70.7,94250.0,0.0
1951-06-01,,,66440.0,66440.0,70.5,94250.0,0.0
1951-06-02,,,66130.0,66130.0,70.2,94250.0,0.0
1951-06-03,,,64970.0,64970.0,68.9,94250.0,0.0
1951-06-04,,,63730.0,63730.0,67.6,94250.0,0.0
1951-06-05,,,62810.0,62810.0,66.6,94250.0,0.0
1951-06-06,,,63630.0,63630.0,67.5,94250.0,0.0
1951-06-07,,,63630.0,63630.0,67.5,94250.0,0.0
1951-06-08,,,62000.0,62000.0,65.8,94250.0,0.0
1951-06-09,,,60800.0,60800.0,64.5,94250.0,0.0
1951-06-10,,,59320.0,59320.0,62.9,94250.0,0.0
1951-06-11,,,58160.0,58160.0,61.7,94250.0,0.0
1951-06-12,,,57020.0,57020.0,60.5,94250.0,0.0
1951-06-13,,,55500.0,55500.0,58.9,94250.0,0.0
1951-06-14,,,53840.0,53840.0,57.1,94250.0,0.0
1951-06-15,,,52210.0,52210.0,55.4,94250.0,0.0
1951-06-16,,,50530.0,50530.0,53.6,94250.0,0.0
1951-06-17,,,49830.0,49830.0,52.9,94250.0,0.0
1951-06-18,,,49740.0,49740.0,52.8,94250.0,0.0
1951-06-19,,,50700.0,50700.0,53.8,94250.0,0.0
1951-06-20,,,50880.0,50880.0,54.0,94250.0,0.0
1951-06-21,,,50260.0,50260.0,53.3,94250.0,0.0
1951-06-22,,,49740.0,49740.0,52.8,94250.0,0.0
1951-06-23,,,47770.0,47770.0,50.7,94250.0,0.0
1951-06-24,,,46840.0,46840.0,49.7,94250.0,0.0
1951-06-25,,,45840.0,45840.0,48.6,94250.0,0.0
1951-06-26,,,45190.0,45190.0,47.9,94250.0,0.0
1951-06-27,,,44130.0,44130.0,46.8,94250.0,0.0
1951-06-28,,,43090.0,43090.0,45.7,94250.0,0.0
1951-06-29,,,41830.0,41830.0,44.4,94250.0,0.0
1951-06-30,,,40670.0,40670.0,43.2,94250.0,0.0
1951-07-01,,,38930.0,38930.0,41.3,94250.0,0.0
1951-07-02,,,37230.0,37230.0,39.5,94250.0,0.0
1951-07-03,,,36150.0,36150.0,38.4,94250.0,0.0
1951-07-04,,,34400.0,34400.0,36.5,94250.0,0.0
1951-07-05,,,32690.0,32690.0,34.7,94250.0,0.0
1951-07-06,,,30400.0,30400.0,32.3,94250.0,0.0
1951-07-07,,,28330.0,28330.0,30.1,94250.0,0.0
1951-07-08,,,26010.0,26010.0,27.6,94250.0,0.0
1951-07-09,,,23640.0,23640.0,25.1,94250.0,0.0
1951-07-10,,,21020.0,21020.0,22.3,94250.0,0.0
1951-07-11,,,18990.0,18990.0,20.1,94250.0,0.0
1951-07-12,,,16870.0,16870.0,17.9,94250.0,0.0
1951-07-13,,,15380.0,15380.0,16.3,94250.0,0.0
1951-07-14,,,13920.0,13920.0,14.8,94250.0,0.0
1951-07-15,,,12380.0,12380.0,13.1,94250.0,0.0
1951-07-16,,,11010.0,11010.0,11.7,94250.0,0.0
1951-07-17,,,9790.0,9790.0,10.4,94250.0,0.0
1951-07-18,,,8670.0,8670.0,9.2,94250.0,0.0
1951-07-19,,,7480.0,7480.0,7.9,94250.0,0.0
1951-07-20,,,6550.0,6550.0,6.9,94250.0,0.0
1951-07-21,,,5660.0,5660.0,6.0,94250.0,0.0
1951-07-22,,,4870.0,4870.0,5.2,94250.0,0.0
1951-07-23,,,4150.0,4150.0,4.4,94250.0,0.0
1951-07-24,,,3440.0,3440.0,3.6,94250.0,0.0
1951-07-25,,,2890.0,2890.0,3.1,94250.0,0.0
1951-07-26,,,2410.0,2410.0,2.6,94250.0,0.0
1951-07-27,,,2000.0,2000.0,2.1,94250.0,0.0
1951-07-28,,,1510.0,1510.0,1.6,94250.0,0.0
1951-07-29,,,1200.0,1200.0,1.3,94250.0,0.0
1951-07-30,,,995.0,995.0,1.1,94250.0,0.0
1951-07-31,,,742.0,742.0,0.8,94250.0,0.0
1951-08-01,,,473.0,473.0,0.5,94250.0,0.0
1951-08-02,,,261.0,261.0,0.3,94250.0,0.0
1951-08-03,,,233.0,233.0,0.2,94250.0,0.0
1951-08-04,,,218.0,218.0,0.2,94250.0,0.0
1951-08-05,,,208.0,208.0,0.2,94250.0,0.0
1951-08-06,,,186.0,186.0,0.2,94250.0,0.0
1951-08-07,,,149.0,149.0,0.2,94250.0,0.0
1951-08-08,,,24.0,24.0,0.0,94250.0,0.0
1951-08-09,,,23.0,23.0,0.0,94250.0,0.0
1951-08-10,,,22.0,22.0,0.0,94250.0,0.0
1951-08-11,,,21.0,21.0,0.0,94250.0,0.0
1951-08-12,,,21.0,21.0,0.0,94250.0,0.0
1951-08-13,,,20.0,20.0,0.0,94250.0,0.0
1951-08-14,,,19.0,19.0,0.0,94250.0,0.0
1951-08-15,,,18.0,18.0,0.0,94250.0,0.0
1951-08-16,,,18.0,18.0,0.0,94250.0,0.0
1951-08-17,,,18.0,18.0,0.0,94250.0,0.0
1951-08-18,,,17.0,17.0,0.0,94250.0,0.0
1951-08-19,,,17.0,17.0,0.0,94250.0,0.0
1951-08-20,,,16.0,16.0,0.0,94250.0,0.0
1951-08-21,,,16.0,16.0,0.0,94250.0,0.0
1951-08-22,,,17.0,17.0,0.0,94250.0,0.0
1951-08-23,,,16.0,16.0,0.0,94250.0,0.0
1951-08-24,,,15.0,15.0,0.0,94250.0,0.0
1951-08-25,,,15.0,15.0,0.0,94250.0,0.0
1951-08-26,,,15.0,15.0,0.0,94250.0,0.0
1951-08-27,,,14.0,14.0,0.0,94250.0,0.0
1951-08-28,,,14.0,14.0,0.0,94250.0,0.0
1951-08-29,,,14.0,14.0,0.0,94250.0,0.0
1951-08-30,,,14.0,14.0,0.0,94250.0,0.0
1951-08-31,,,13.0,13.0,0.0,94250.0,0.0
1951-09-01,,,13.0,13.0,0.0,94250.0,0.0
1951-09-02,,,12.0,12.0,0.0,94250.0,0.0
1951-09-03,,,12.0,12.0,0.0,94250.0,0.0
1951-09-04,,,14.0,14.0,0.0,94250.0,0.0
1951-09-05,,,14.0,14.0,0.0,94250.0,0.0
1951-09-06,,,13.0,13.0,0.0,94250.0,0.0
1951-09-07,,,14.0,14.0,0.0,94250.0,0.0
1951-09-08,,,14.0,14.0,0.0,94250.0,0.0
1951-09-09,,,13.0,13.0,0.0,94250.0,0.0
1951-09-10,,,15.0,15.0,0.0,94250.0,0.0
1951-09-11,,,16.0,16.0,0.0,94250.0,0.0
1951-09-12,,,17.0,17.0,0.0,94250.0,0.0
1951-09-13,,,17.0,17.0,0.0,94250.0,0.0
1951-09-14,,,17.0,17.0,0.0,94250.0,0.0
1951-09-15,,,74.0,74.0,0.1,94250.0,0.0
1951-09-16,,,181.0,181.0,0.2,94250.0,0.0
1951-09-17,,,255.0,255.0,0.3,94250.0,0.0
1951-09-18,,,295.0,295.0,0.3,94250.0,0.0
1951-09-19,,,421.0,421.0,0.4,94250.0,0.0
1951-09-20,,,576.0,576.0,0.6,94250.0,0.0
1951-09-21,,,791.0,791.0,0.8,94250.0,0.0
1951-09-22,,,998.0,998.0,1.1,94250.0,0.0
1951-09-23,,,1570.0,1570.0,1.7,94250.0,0.0
1951-09-24,,,4910.0,4910.0,5.2,94250.0,0.0
1951-09-25,,,6220.0,6220.0,6.6,94250.0,0.0
1951-09-26,,,6840.0,6840.0,7.3,94250.0,0.0
1951-09-27,,,9790.0,9790.0,10.4,94250.0,0.0
1951-09-28,,,11090.0,11090.0,11.8,94250.0,0.0
1951-09-29,,,12140.0,12140.0,12.9,94250.0,0.0
1951-09-30,,,9970.0,9970.0,10.6,94250.0,0.0
1951-10-01,,,7460.0,7460.0,7.9,94250.0,0.0
1951-10-02,,,5190.0,5190.0,5.5,94250.0,0.0
1951-10-03,,,3270.0,3270.0,3.5,94250.0,0.0
1951-10-04,,,3190.0,3190.0,3.4,94250.0,0.0
1951-10-05,,,3630.0,3630.0,3.9,94250.0,0.0
1951-10-06,,,4020.0,4020.0,4.3,94250.0,0.0
1951-10-07,,,4380.0,4380.0,4.6,94250.0,0.0
1951-10-08,,,4810.0,4810.0,5.1,94250.0,0.0
1951-10-09,,,5110.0,5110.0,5.4,94250.0,0.0
