,BRAZOS,NECHES
9/15/2022,0.546973254,0
9/16/2022,0.051345618,0
9/17/2022,0.021227135,0.48859048
9/18/2022,0.044911452,0.537006622
9/19/2022,0,0.046315708
9/20/2022,0,0.018343597
9/21/2022,0,0
9/22/2022,0,0
9/23/2022,0,0
9/24/2022,0,0
9/25/2022,0.038609653,0.007381372
9/26/2022,1.401466706,0.020697443
9/27/2022,0,0
9/28/2022,0,0
9/29/2022,0.014962547,0
9/30/2022,0,0
10/1/2022,0,0
