,Soil Moisture at 0-40_SAM_RAYBURN_RESERVOIR,percent_full_SAM_RAYBURN_RESERVOIR,Soil Moisture at 40-80_SAM_RAYBURN_RESERVOIR,Soil Moisture at 0-80_SAM_RAYBURN_RESERVOIR,Soil Moisture at 0-40_BELTON_LAKE,percent_full_BELTON_LAKE,Soil Moisture at 40-80_BELTON_LAKE,Soil Moisture at 0-80_BELTON_LAKE,"Soil Moisture at 0-40_LAKE_GRANBURY,POSSUM_KINGDOM_LAKE,LAKE_WHITNEY","percent_full_LAKE_GRANBURY,POSSUM_KINGDOM_LAKE,LAKE_WHITNEY","Soil Moisture at 40-80_LAKE_GRANBURY,POSSUM_KINGDOM_LAKE,LAKE_WHITNEY","Soil Moisture at 0-80_LAKE_GRANBURY,POSSUM_KINGDOM_LAKE,LAKE_WHITNEY","Soil Moisture at 0-40_LAKE_GEORGETOWN,STILLHOUSE_HOLLOW_LAKE","percent_full_LAKE_GEORGETOWN,STILLHOUSE_HOLLOW_LAKE","Soil Moisture at 40-80_LAKE_GEORGETOWN,STILLHOUSE_HOLLOW_LAKE","Soil Moisture at 0-80_LAKE_GEORGETOWN,STILLHOUSE_HOLLOW_LAKE",Soil Moisture at 0-40_SOMERVILLE_LAKE,percent_full_SOMERVILLE_LAKE,Soil Moisture at 40-80_SOMERVILLE_LAKE,Soil Moisture at 0-80_SOMERVILLE_LAKE,Soil Moisture at 0-40_LAKE_WACO,percent_full_LAKE_WACO,Soil Moisture at 40-80_LAKE_WACO,Soil Moisture at 0-80_LAKE_WACO,Soil Moisture at 0-40_PROCTOR_LAKE,percent_full_PROCTOR_LAKE,Soil Moisture at 40-80_PROCTOR_LAKE,Soil Moisture at 0-80_PROCTOR_LAKE,Soil Moisture at 0-40_LAKE_LIMESTONE,percent_full_LAKE_LIMESTONE,Soil Moisture at 40-80_LAKE_LIMESTONE,Soil Moisture at 0-80_LAKE_LIMESTONE,Soil Moisture at 0-40_GRANGER_LAKE,percent_full_GRANGER_LAKE,Soil Moisture at 40-80_GRANGER_LAKE,Soil Moisture at 0-80_GRANGER_LAKE,Soil Moisture at 0-40_AQUILLA_LAKE,percent_full_AQUILLA_LAKE,Soil Moisture at 40-80_AQUILLA_LAKE,Soil Moisture at 0-80_AQUILLA_LAKE
1979-03,0.3004902254606614,100.0,0.32424754118603116,0.31236888332334617,0.36310015426092257,80.16568031106205,0.37339445126733123,0.36824730276412687,0.3033994719510027,88.75660383170329,0.3173933848557103,0.3103964284033565,,,,,0.26380907079458027,100.0,0.279277962212761,0.27154351650367065,0.3879213791236946,90.94937098950166,0.3991030577611988,0.3935122184424467,0.2576131952592164,44.97177993760932,0.2867926565268374,0.27220292589302686,0.32039623420786173,18.122039888185622,0.33725686401625216,0.32882654911205694,,,,,,,,
1979-04,0.29773667603193993,100.0,0.3223720443610322,0.31005436019648597,0.35922227641497206,93.14945744727055,0.38393961408674143,0.3715809452508567,0.3063819402250715,96.05653804020311,0.32441789357369566,0.31539991689938357,,,,,0.2676881316453112,100.0,0.28770016477438337,0.2776941482098473,0.3849416259192203,100.0,0.40753407622636895,0.3962378510727946,0.26766040120295237,60.62354617090719,0.2949750298723246,0.2813177155376385,0.3168200775649479,47.77988596478523,0.33825388152615504,0.3275369795455515,,,,,,,,
1979-05,0.2822413596247017,100.0,0.3064689549450986,0.29435515728490014,0.3603864792994812,100.0,0.3809710680445578,0.3706787736720195,0.308137836119155,98.33349261247542,0.32698299836146416,0.3175604172403096,,,,,0.274037081143146,100.0,0.2923492235711627,0.2831931523571543,0.390377922778145,100.0,0.4089972136752271,0.39968756822668605,0.2699454539767488,63.92340011179833,0.2969180818761642,0.2834317679264565,0.31106880400537373,88.47916033003587,0.3310112062010372,0.3210400051032055,,,,,,,,
1979-06,0.2706296001753813,100.0,0.3079440248537997,0.28928681251459054,0.352814347667826,100.0,0.3824139714030724,0.3676141595354491,0.30500702828192755,98.17789926871129,0.3264651973657118,0.31573611282381964,,,,,0.2606938599196611,100.0,0.2977758972608908,0.27923487859027596,0.3713096663008652,100.0,0.4029631064969411,0.38713638639890313,0.23578843716535908,100.0,0.2865187245953467,0.2611535808803529,0.2933713968720178,100.0,0.3336160978676882,0.313493747369853,,,,,,,,
1979-07,0.22156766690879928,100.0,0.27025364086922743,0.24591065388901331,0.3297190870287039,100.0,0.36376345830280143,0.3467412726657526,0.2770241173506534,98.77965850025393,0.31941483372100005,0.29821947553582673,,,,,0.1971366016110559,100.0,0.26144988954459253,0.22929324557782418,0.3485603387671487,100.0,0.3842502540752962,0.36640529642122244,0.1886683009591827,100.0,0.27809902945954934,0.23338366520936601,0.2577282089417814,99.8730259886351,0.3187350584802281,0.28823163371100474,,,,,,,,
1979-08,0.2261545831482806,92.56483247076342,0.2568121844446687,0.24148338379647463,0.32678938987416106,100.0,0.35200805547314473,0.3393987226736529,0.2656122977443525,99.5109472159454,0.3134267527893544,0.28951952526685343,,,,,0.15587845996832847,100.0,0.24776670125391398,0.2018225806111212,0.34493216971066454,100.0,0.3731469371111864,0.35903955341092547,0.17139179153617698,97.40880321690679,0.2746746724190582,0.2230332319776176,0.25123661605597725,99.6799096215402,0.3138795723055417,0.2825580941807595,,,,,,,,
1979-09,0.2257513127726766,80.8001631183481,0.250381160414543,0.23806623659360976,0.31202025594800903,100.0,0.34358179131588307,0.327801023631946,0.2537368197649135,97.60133510146345,0.30899625750242454,0.281366538633669,,,,,0.13713468993869066,100.0,0.24186432238222283,0.1894995061604567,0.3295141409045451,100.0,0.3647820718955015,0.34714810640002325,0.15149765359467338,97.71534702562346,0.27258673235339614,0.21204219297403473,0.2510018342810631,99.77646780508765,0.3121920897211725,0.2815969620011178,,,,,,,,
1979-10,0.2424139708674841,79.62714623277002,0.2553970105522251,0.24890549070985454,0.3078235585178088,99.48133467742858,0.3374997202039682,0.3226616393608885,0.25077185981439454,93.19496319862003,0.30533574402230107,0.2780538019183478,,,,,0.14163479018384706,100.0,0.2394809599488132,0.19055787506633012,0.32780288863093965,100.0,0.35908515351291903,0.3434440210719293,0.14377406183248564,91.13367113258921,0.271291087307741,0.20753257457011332,0.27367798214991723,98.81088596961314,0.31641311923843735,0.29504555069417726,,,,,,,,
1979-11,0.269957526452002,79.17863977651959,0.26172674627484677,0.26584213636342435,0.31606601320608807,97.88122129796625,0.3344008023685189,0.3252334077873035,0.25928572812595857,91.09129380209316,0.3029459728791918,0.28111585050257515,,,,,0.167833556269739,97.2475526999246,0.2383195742679843,0.20307656526886161,0.34029679921364003,98.89332502414003,0.3567000584823093,0.34849842884797466,0.14927532878125188,85.72407450817751,0.2702589103572158,0.2097671195692338,0.2875794884631425,97.50735049172255,0.3151588371844608,0.30136916282380166,,,,,,,,
1979-12,0.2843697739834154,83.14619688950422,0.28926904811870746,0.2868194110510614,0.32549500314609847,96.41826049388642,0.3324490448214488,0.3289720239837736,0.27121395303420337,88.25057004820235,0.30175383484156687,0.28648389393788515,,,,,0.1986545750894072,96.40976728899085,0.23797193700016125,0.21831325604478424,0.3491268938010519,97.18126596495073,0.356700129525074,0.35291351166306295,0.16754796532926944,82.96518022972754,0.26909247899048994,0.21832022215987967,0.29880555242649953,96.10725683028451,0.3186219633301287,0.3087137578783141,,,,,,,,
