,STORAGE,Precipitation,Tempreture,Soil Moisture at 0-40,Soil Moisture at 40-80,Soil Moisture at 0-80
1991-09,663.1863000000004,121.18577275436952,21.761857464693218,13.03568733113453,13.642625744294469,26.678313075429
1991-10,666.3454899999994,99.57940491275372,18.627092782432786,12.847025929179894,13.805150893679688,26.652176822859584
1991-11,657.4584800000013,15.591412162093299,8.996060198964011,13.697561598001771,14.47515928219144,28.172720880193207
1991-12,665.7454600000008,153.20145922723492,8.018181302897798,14.301249276603338,14.724861169620057,29.02611044622339
1992-01,668.8758599999989,55.782933714075845,5.995815580437678,14.727795636015317,15.501062603088151,30.228858239103467
1992-02,679.9604400000006,100.81650632436782,10.388623362046742,15.018404500171147,15.880091746537877,30.898496246709026
1992-03,678.1404600000003,33.95047702334149,14.146713107431646,14.318474128815756,15.584713925283635,29.90318805409939
1992-04,662.7842000000009,38.806766953935934,17.316718000654454,13.49226421652515,14.773560664620236,28.265824881145384
1992-05,656.80962,115.36868746071697,20.179481949240778,13.329070382180245,14.251386470883158,27.580456853063403
1992-06,678.66096,143.62500054759948,24.68139542175062,13.949410160527428,14.777609059096315,28.727019219623745
1992-07,680.1761199999995,57.360020508391244,27.294872346457634,12.44793666946257,14.17935342901557,26.627290098478138
1992-08,674.9699599999997,39.357261046060394,25.164279033630812,11.882446341065597,13.656601384531074,25.53904772559667
1992-09,654.800959999999,49.71135728151693,23.885746588499078,11.545180842840375,13.332944487583186,24.87812533042356
1992-10,640.2749299999999,7.4554491485826135,19.18637085575569,11.191785446192275,13.067571325874797,24.259356772067072
1992-11,631.5075,75.15683694174811,10.503562871914768,12.102753938049144,13.004140158675938,25.106894096725078
1992-12,628.0904999999997,41.00952672011191,7.456236502607511,13.099985952953338,13.534896729224654,26.63488268217799
1993-01,633.0260400000004,33.51956629827866,4.979369866845891,12.991276778468146,13.699697562963491,26.690974341431637
1993-02,634.6917600000005,60.5635398804622,7.128079149479058,13.203868649064374,13.736899898739594,26.940768547803966
1993-03,657.4274900000005,41.2389874044961,11.715839022842113,13.090696209629202,13.924019354776263,27.014715564405467
1993-04,668.4506800000011,46.146259974021206,16.55614252817993,12.646263040187991,13.677344204596542,26.32360724478453
1993-05,660.9644000000006,57.6479393633355,20.862323700274086,12.389224577979299,13.45519180231918,25.84441638029848
1993-06,658.3596399999994,69.53331804642247,26.209518034277362,11.947828019336452,13.162721413408551,25.110549432745007
1993-07,655.1838200000005,17.090581841660565,29.716170048331904,10.762014114459685,12.866566523929027,23.628580638388712
1993-08,616.4635999999999,44.863395091032814,28.793362523813904,10.067290098490442,12.586859122101105,22.654149220591545
1993-09,593.8297999999993,59.304033068303134,23.030807775404806,10.701866685511876,12.44352331666751,23.145390002179386
1993-10,583.5936400000004,97.09644395442453,16.874310778545603,11.564635221798039,12.584712050768568,24.149347272566605
1993-11,603.0366400000006,15.034253312404282,9.012443368422598,11.931309015662567,12.952016146366386,24.88332516202895
1993-12,598.2474400000002,26.667890111612635,8.091022406299672,11.992300259111666,12.912844224056578,24.905144483168243
1994-01,600.6882800000003,22.925193062966006,6.292960012452646,11.796613675849411,12.8368489403071,24.63346261615651
1994-02,598.1354799999993,28.67524589777902,6.813040003805349,11.925775209967824,12.797185377628285,24.72296058759611
1994-03,602.9228799999997,17.532164264786832,13.48547667555011,11.826274772822636,12.820544451490932,24.64681922431357
1994-04,601.5806800000003,50.552892883388864,17.37911245093713,11.503489016474854,12.6647634422906,24.16825245876545
1994-05,594.9035600000001,143.59458191953735,20.747386342789156,12.857914291539005,13.09813348369929,25.95604777523829
1994-06,687.5356899999992,9.94813858880323,28.27831230377087,11.792058921066303,13.319382965130483,25.111441886196783
1994-07,673.55273,40.00333390331701,28.649960538382206,10.816241932407584,12.900511678090652,23.716753610498234
1994-08,658.8381800000008,18.905150203202357,28.236256522738213,10.084673961723336,12.605710834721249,22.690384796444583
1994-09,628.7830199999999,78.94313424972468,23.15806457053284,10.84279697019381,12.516852347703038,23.359649317896846
1994-10,623.91936,87.08798062192214,18.652112219735354,11.298888651573693,12.532726033511757,23.831614685085448
1994-11,674.6720499999999,71.00023251453445,12.50083693857352,12.195892233157252,12.942810151956648,25.1387023851139
1994-12,678.4452800000003,35.82881720490151,8.378995727424313,12.205742343236798,13.139349989762067,25.345092332998863
1995-01,661.1018600000006,22.178754494243517,7.385431294892763,12.272792931995564,13.144246011214152,25.417038943209715
1995-02,653.0222799999998,13.053940307535889,9.755058618175662,11.933966131667372,13.035507129938326,24.969473261605696
1995-03,644.0669000000008,45.14571864225622,11.657265661073364,11.993186839586919,12.964769049270707,24.957955888857626
1995-04,648.3373999999995,44.230498177339754,16.882523382778448,11.830366074466262,12.930367168926344,24.760733243392604
1995-05,631.9570200000005,146.19744984821762,21.071534938421877,12.178080488227762,12.905571310647609,25.083651798875373
1995-06,641.7427600000012,68.65744646446048,24.813560897222448,12.209964734270576,12.974998676147287,25.18496341041786
1995-07,676.1715100000004,61.3370580021916,28.59928439500761,11.35393529393084,12.768945780669227,24.122881074600066
1995-08,657.0139000000006,125.1683153099251,27.617011060123072,12.356254333781912,13.234703197966533,25.590957531748447
1995-09,670.4538200000002,113.89209731625583,23.220175057724656,12.503548409907088,13.224836981887591,25.728385391794678
