,STORAGE,Precipitation,Tempreture,Soil Moisture at 0-40,Soil Moisture at 40-80,Soil Moisture at 0-80
1979-06,,82.41797069874751,25.195282608637154,14.555530843428482,15.332006685117575,29.887537528546055
1979-07,,87.38657137713248,27.689471544127784,13.742839987946908,14.87955081178358,28.62239079973049
1979-08,,97.54366271530684,26.69841976849068,13.579131049877107,14.56835829537329,28.147489345250396
1979-09,,32.13501732447653,23.638652988856727,13.097195668771143,14.324228890095172,27.421424558866313
1979-10,,36.028065687391226,21.365056812686923,12.94165295139852,14.1579190460061,27.09957199740462
1979-11,,9.8625769767791,11.467869418774093,13.288626715369434,13.999674004252093,27.288300719621528
1979-12,,80.05305305359256,9.500956509531246,13.735192604824311,13.890004940216237,27.625197545040546
1980-01,,34.57152538741558,8.706994287682466,14.386027409393229,14.213070965202228,28.599098374595453
1980-02,,38.51505167602145,9.094272992511332,14.32323033672848,14.42693651783627,28.75016685456475
1980-03,,50.295061170893064,13.140120247758864,13.903524208567813,14.42825579961163,28.33178000817944
1980-04,,59.872413875930626,17.167342803918956,14.158337251810924,14.466817470994878,28.6251547228058
1980-05,,180.73921566947308,22.35357513683004,15.186676924971925,15.203934740798978,30.3906116657709
1980-06,,35.45387599401811,28.043425842322335,13.763946880273666,15.304043442862417,29.067990323136083
1980-07,,8.095923184156472,30.261978244016962,12.624277538178774,14.770580381194995,27.394857919373766
1980-08,,11.96715053717984,29.256301409847623,11.904185944689756,14.400693470341078,26.304879415030836
1980-09,,146.58234581724,26.18098351392081,13.00445565846199,14.236212531264709,27.2406681897267
1980-10,,16.963080571152425,18.413711883464945,14.070294810459695,14.41578006633016,28.486074876789854
1980-11,,66.47952125282244,12.50273001659498,14.273202360298553,14.387833626766582,28.661035987065134
1980-12,,42.246635778870676,10.47758679103611,14.931191542539988,14.981527924234602,29.91271946677459
1981-01,,20.219602486626588,8.13745534433343,14.32354482424995,14.950465207253856,29.27401003150381
1981-02,,39.31671254874675,10.053448144844682,14.424837573905135,14.854415133303794,29.27925270720893
1981-03,,93.53482110022654,13.266166926416409,14.65460314989822,14.869392979156999,29.52399612905522
1981-04,,56.045673249508006,20.52172883030028,14.3433134087864,14.84033126699979,29.18364467578619
1981-05,,100.87915927491561,21.861475544165263,14.361962953954844,14.819222549970616,29.18118550392546
1981-06,,222.72930523813127,25.741009805723753,15.672863615741461,16.030182645521048,31.70304626126251
1981-07,,18.307276838288235,28.11378236534302,13.956762681608142,15.625362738179655,29.582125419787793
1981-08,,68.42975957396163,27.43965353149046,13.443200655503935,15.033313598964373,28.476514254468306
1981-09,,97.4875935534387,24.01765275269741,14.629404145326387,15.351097865388413,29.980502010714797
1981-10,,107.81229038048927,20.0086781897383,14.924363211510055,15.32506922338554,30.249432434895592
