,min,5%,25%,mean,75%,95%,max
1900-01-01,0.11111335785811599,0.1325188079778255,0.20490837672650675,0.2353713517980581,0.27230898987193947,0.3035017673380277,0.3087246241372523
1900-01-02,0.11078926292234154,0.13259172052970752,0.2060575880746299,0.235204541008098,0.2733344930792696,0.30364604206748863,0.3091145111430225
1900-01-03,0.11045398378915106,0.13350869533670337,0.2053745278537617,0.23594160561176775,0.27475219187178945,0.3043803434418922,0.32471924132964025
1900-01-04,0.11018653457019399,0.13480165900289887,0.20475456456836372,0.23592856535230627,0.2746830692459325,0.30302875131462664,0.3214247787686426
1900-01-05,0.11027940700004339,0.1358446604505479,0.2041426047085155,0.23553904628693237,0.27388697476541746,0.30184438180222883,0.31776563347443154
1900-01-06,0.11214190769145076,0.1390865645163268,0.2037517039118889,0.23571206519365584,0.2733641035180393,0.30048411468932923,0.3153914388913788
1900-01-07,0.1184104621968407,0.14160825784991898,0.20384580906646005,0.23699948483063243,0.2736463736556009,0.3029600987124119,0.31370303362779023
1900-01-08,0.11862464695660165,0.1442645196901892,0.20424111199759346,0.23720837447183074,0.2725756494873408,0.3024809803229021,0.31189103188945394
1900-01-09,0.11786632797517387,0.14335071871563795,0.21452543172882116,0.23978385236582878,0.27288197828202637,0.3009342659537755,0.3109147754849795
1900-01-10,0.1174447815686609,0.14288273787792488,0.2213097983305067,0.24157948696513648,0.27336447858889124,0.3018058611705273,0.3079342987840005
1900-01-11,0.11694699926260677,0.14376722492737334,0.21963036019242885,0.2413732496757298,0.27355996661646265,0.2977544143427739,0.3065567199888247
1900-01-12,0.1165628455874354,0.15265508100937972,0.21897577249179134,0.24176156259454445,0.27515242460225353,0.3031597688655031,0.3106419741149213
1900-01-13,0.1161238294313276,0.1587474995304743,0.21867141654535222,0.2424544277028211,0.2770393917639783,0.30588180784623864,0.3107024594821406
1900-01-14,0.11543489538100721,0.15908243252335935,0.21802249827887854,0.24198905410621643,0.2799068234540938,0.3012766823065417,0.306486826818387
1900-01-15,0.11543725722781802,0.15867790886017644,0.2188967907559646,0.2416778508787443,0.277439667254963,0.3015748561323926,0.30770157550597615
1900-01-16,0.11502187615533459,0.15866325275283547,0.22083288633498946,0.24250387630201403,0.2793008675378532,0.29914655732238876,0.30425753615531215
1900-01-17,0.11485639782762219,0.16097766524484222,0.22097527019423047,0.24383051833192126,0.28229888594827446,0.2979682829190284,0.3054931505108674
1900-01-18,0.1147322633033526,0.16104414414653673,0.22025003844841398,0.24492659898908462,0.2811779633723165,0.3024520778028764,0.31846595208575
1900-01-19,0.11437829611224958,0.16162019438093897,0.21833206001326547,0.24644454717871717,0.28131315784414657,0.3042787972481379,0.31523957013780946
1900-01-20,0.1139778836654261,0.16156273763143644,0.22060589638756392,0.2472439193142208,0.2819088369412178,0.30243466923747786,0.30842997482898404
1900-01-21,0.11375592479867862,0.16312118634261957,0.21909140036027044,0.2472773366388377,0.2806871990450722,0.3025718124406208,0.3102983935764391
1900-01-22,0.11353751578817642,0.16886420097762866,0.2173414864091188,0.2477009558532556,0.2830298984277812,0.30019767276207643,0.3144127874090603
1900-01-23,0.11326159265577038,0.18089667485689231,0.21925323646901312,0.2478792663133139,0.2810640142818752,0.3040135119069987,0.31456191851192944
1900-01-24,0.11308029293544483,0.18023702699842276,0.21876944687136643,0.247316695421169,0.2781710968328047,0.305490689215303,0.30989765614965925
1900-01-25,0.11293591240423878,0.17972256466850234,0.21961989901432932,0.24812834169199155,0.2752787979452076,0.3034617091601792,0.3059842338315951
1900-01-26,0.11279560658412487,0.1792350591816176,0.2222411842881471,0.24783790252904597,0.2731419021380537,0.3011930823367544,0.3053669874275017
1900-01-27,0.1127285326758952,0.17987420449446181,0.2236210026350449,0.2475042593689462,0.2731740217641708,0.2999498421921326,0.31458312088845186
1900-01-28,0.11279298524204061,0.1850578475505983,0.2229642843609264,0.248086594273661,0.27557367828245993,0.3008436042184052,0.31308503268376797
1900-01-29,0.11281064949091768,0.19328658627337061,0.22256309636043264,0.2486616098323022,0.2798227078901667,0.2968926893537272,0.31128114713658284
1900-01-30,0.11257894024809552,0.1927841933569459,0.22460350500767343,0.2481494643895595,0.28006612154268096,0.29583743501329735,0.30989696465095506
1900-01-31,0.11238820633520176,0.191966678567861,0.22466539108737388,0.247535669881246,0.27844584063005323,0.29606921905037864,0.30788222233423895
1900-02-01,0.11209109255487326,0.19152266334037912,0.22202872913035698,0.24768582949693704,0.27832962755330687,0.2966961563079021,0.3060498660994168
1900-02-02,0.11192111972992952,0.19454117647735913,0.22249051807364859,0.2475576444461302,0.2770597512695536,0.29645442829954355,0.30773509437849944
1900-02-03,0.1117699209726312,0.19168535324232747,0.222504595081368,0.2477935945665751,0.27685331887000025,0.2959752813704406,0.31930948667604
1900-02-04,0.11153951458178454,0.19123361653995125,0.22177904434206802,0.24943154577990095,0.2808186742068226,0.295817833370754,0.3281955792897432
1900-02-05,0.11130736844861504,0.1923777394105604,0.2235184455581496,0.2502838469872166,0.2789710466018549,0.2963347884679819,0.325886475015457
1900-02-06,0.11118022700453854,0.1953725641476555,0.22374631197407402,0.24994350288314943,0.2796143368507833,0.2933686839933565,0.3209141472926742
1900-02-07,0.11107616597904817,0.19502164912920744,0.22297973752437092,0.24922788791590342,0.27976097049490495,0.29815905128468445,0.3176597413212771
1900-02-08,0.11095613841952053,0.1947048990825313,0.2242241656784273,0.24880855239593683,0.2789753639483581,0.30246945181777435,0.31620346459795834
