,sm_initial,sm_difference,prec_rollingsum,sm_final
2020-10-17,0.34136302020699894,-0.007030339706931177,0.0,0.33433268050006776
1988-10-23,0.31699466654911834,-0.011251533657781032,0.0,0.3057431328913373
1988-10-24,0.3155559162491692,-0.010018779933589017,0.0,0.30553713631558016
2012-09-13,0.2912723569825575,-0.008430682282269841,0.0,0.28284167470028765
2020-10-10,0.3518857162153383,-0.014441594351482512,0.0,0.3374441218638558
2020-10-11,0.34972244116705864,-0.0127458271562077,0.0,0.33697661401085094
2020-10-12,0.3475498634595537,-0.011188847785974454,0.0,0.33636101567357923
2020-10-13,0.34588578405657533,-0.010008222549891255,0.0,0.3358775615066841
2020-10-14,0.3445176150078875,-0.009112251358303014,0.0,0.3354053636495845
2020-10-15,0.34320894016848197,-0.008185434213976439,0.0,0.33502350595450553
2020-10-16,0.3422329149415384,-0.007597374250603861,0.0,0.33463554069093454
1990-06-24,0.3300550213767983,-0.014735681112879373,0.0,0.31531934026391895
2020-10-18,0.3406696977308736,-0.006379353040073921,0.0,0.33429034469079966
2020-10-19,0.3400293295126858,-0.006073682789190515,0.0,0.33395564672349526
2020-10-20,0.339457975211484,-0.00579524751571503,0.0,0.333662727695769
2012-09-14,0.28943154655223835,0.00970395165104515,0.0,0.2991354982032835
1988-10-22,0.31873805220937673,-0.012606094216813413,0.0,0.3061319579925633
2020-06-20,0.3381114396610571,-0.00629820969132755,0.0,0.33181322996972956
2020-06-19,0.3414834893975629,-0.02357626683905062,0.0,0.3179072225585123
1988-10-21,0.32072425276663236,-0.014141934393662403,0.0,0.30658231837296995
1998-08-04,0.2960811808708209,-0.013261867948931139,0.0,0.2828193129218898
2004-12-22,0.4030116679004281,-0.018665205832425147,0.0,0.38434646206800294
1996-02-27,0.3165735273646749,-0.006920631449970793,0.0,0.30965289591470413
1987-08-09,0.3263966570570916,-0.011940534019483695,0.0,0.3144561230376079
1987-08-10,0.3250719019893839,-0.009775634214428952,0.0,0.31529626777495495
1987-08-11,0.32382667536974813,-0.003989063495544232,0.0,0.3198376118742039
1996-02-26,0.3173447151790096,-0.007406296597370021,0.0,0.30993841858163956
2012-11-19,0.29968968146295066,-0.0016721635481880548,0.0,0.2980175179147626
1981-10-04,0.32750173163879,-0.013261249585743262,0.0,0.3142404820530467
1981-10-02,0.3321605720286617,-0.017360559567051737,0.0,0.31480001246161
1981-10-01,0.33561805573166703,-0.020283454795646028,0.0,0.315334600936021
1988-10-17,0.33276313610127567,-0.023843330314941846,0.0,0.3089198057863338
1984-04-26,0.30895311362161815,-0.011634438027902483,0.0,0.29731867559371566
1988-10-18,0.3288366149212886,-0.020611071797382197,0.0,0.3082255431239064
1988-10-19,0.32575108696036154,-0.018166111105024585,0.0,0.30758497585533695
1988-10-20,0.322988038187283,-0.015931844277462803,0.0,0.3070561939098202
1981-10-03,0.32971455501942404,-0.015277967416204963,0.0,0.3144365876032191
2012-11-20,0.2993866597177375,-0.0013640142737140204,0.0,0.29802264544402346
1992-10-23,0.30594050516471344,-0.0015860456540048307,0.0,0.3043544595107086
1992-10-24,0.3057793045666659,-0.0015792723701890665,0.0,0.30420003219647684
1989-10-05,0.312169755790398,-0.005962457335510596,0.0,0.3062072984548874
1989-10-04,0.3134613911457871,-0.007793177261337159,0.0,0.3056682138844499
1989-10-03,0.3149988213687956,-0.00895095969845544,0.0,0.30604786167034015
1989-10-02,0.3168671388906073,-0.010422106787162766,0.0,0.30644503210344454
2015-07-25,0.3445581186537396,-0.017915378759477518,0.0,0.32664273989426207
1985-12-28,0.35783970908870977,-0.008323307135757019,0.0,0.34951640195295275
1985-12-29,0.35678978217588214,-0.007786557389871496,0.0,0.34900322478601065
2015-07-24,0.3472626521854516,-0.019725186396499172,0.0,0.32753746578895243
1985-12-30,0.3586085777196957,-0.010135881765920451,0.0,0.3484726959537752
1986-01-01,0.3580029693975419,-0.011059356835055378,0.0,0.3469436125624865
1986-01-02,0.35627273991762176,-0.009845753514535427,0.0,0.34642698640308633
1989-10-01,0.31926616222594095,-0.012416191153668044,0.0,0.3068499710722729
1989-09-30,0.3220094700863573,-0.014697956244637322,0.0,0.30731151384171995
1989-09-29,0.3251321673314148,-0.017465254282698572,0.0,0.30766691304871624
1986-01-03,0.3559536672981456,-0.010088340649901162,0.0,0.34586532664824443
1986-01-04,0.3553613869953032,-0.01020082961283908,0.0,0.3451605573824641
1985-12-31,0.3588924546320763,-0.011102741890522516,0.0,0.3477897127415538
1998-08-03,0.29794451527667337,-0.01496981771320488,0.0,0.2829746975634685
1989-10-06,0.3112151470132367,-0.0029922868913530576,0.0,0.30822286012188366
1984-04-24,0.31241085893981824,-0.013976031149999624,0.0,0.2984348277898186
1992-10-25,0.305570708337216,-0.001553377393951172,0.0,0.30401733094326483
1992-10-26,0.3053639209165087,-0.0015987083865185991,0.0,0.3037652125299901
2020-10-21,0.3389347716047039,-0.0055565608250722764,0.0,0.33337821077963165
2020-10-22,0.33832666090428604,-0.005187413428906107,0.0,0.33313924747537993
1992-10-27,0.30518521716918534,-0.001389652777070538,0.0,0.3037955643921148
2012-11-21,0.29917098316550855,-0.0012172209380052479,0.0,0.2979537622275033
2012-11-22,0.2989314295665297,-0.0010582885286983812,0.0,0.2978731410378313
1984-04-23,0.3147445841081321,-0.0157338403565892,0.0,0.2990107437515429
2012-11-23,0.29882326850311713,-0.0009921725195831121,0.0,0.297831095983534
2012-11-25,0.2987342089913992,-0.0011186745008314736,0.0,0.2976155344905677
2012-11-26,0.29861534805935475,-0.0010383541364940574,0.0,0.2975769939228607
2012-11-27,0.2985476396471862,-0.0010142255449131499,0.0,0.2975334141022731
1993-08-24,0.2888150330974423,-0.006591004660742694,0.0,0.2822240284366996
1984-04-25,0.3104793875956795,-0.012715451296620384,0.0,0.2977639362990591
1993-08-23,0.28971269568161695,-0.007503527673625554,0.0,0.2822091680079914
1993-08-22,0.2906926513501117,-0.008155739710916265,0.0,0.2825369116391954
2012-11-24,0.2987931476165699,-0.0010407513115963107,0.0,0.2977523963049736
1986-01-05,0.3548298198442847,-0.010871253153078075,0.0,0.3439585666912066
2005-07-01,0.32508240087926654,-0.014000302012251609,0.0,0.31108209886701493
2016-02-21,0.3628850369698357,-0.01263393662999307,0.0,0.35025110033984264
1990-06-19,0.34339050968421725,-0.02442055392411413,0.0,0.3189699557601031
2017-02-12,0.3594461003057288,-0.014475853300484842,0.0,0.344970247005244
2006-11-27,0.31564551934626733,-0.006104511600884155,0.0,0.3095410077453832
2006-11-26,0.31618938583965184,-0.006604502376396759,0.0,0.3095848834632551
2006-11-25,0.31685040644555407,-0.006946649627467494,0.0,0.3099037568180866
2006-11-24,0.31798334379542276,-0.007785555710071501,0.0,0.31019778808535126
2006-11-23,0.31903496938578074,-0.008498026232975298,0.0,0.31053694315280544
2006-11-22,0.3203783779811271,-0.00948973787271884,0.0,0.3108886401084083
1997-07-31,0.32678493450193924,-0.006981154764724551,0.0,0.3198037797372147
2010-12-24,0.3201785373973132,0.0022563592772946728,0.0,0.3224348966746079
2010-12-23,0.32031781138523546,-0.0023056567076071843,0.0,0.3180121546776283
2010-12-22,0.32032127687594897,-0.002279744804587591,0.0,0.3180415320713614
2010-12-21,0.32038740102706054,-0.0021399323735984965,0.0,0.31824746865346204
2010-12-20,0.32054214802177616,-0.002125763586044216,0.0,0.31841638443573195
2010-12-19,0.32067076477941525,-0.0022006270987993126,0.0,0.31847013768061594
1990-06-20,0.33939602983280875,-0.02140872152800849,0.0,0.31798730830480026
2017-02-13,0.3578968952563223,-0.014065869936462527,0.0,0.34383102531985976
2017-02-14,0.3563389347755428,0.01053901321158457,0.0,0.36687794798712736
2008-11-28,0.3174723568254679,-0.006640244025766295,0.0,0.31083211279970163
1984-09-19,0.24629636744970607,-0.008576463653551747,0.0,0.23771990379615432
1992-10-08,0.3078702319790272,-0.0017888854921161434,0.0,0.30608134648691104
1992-10-07,0.30831970852431617,-0.0036065465130332153,0.0,0.30471316201128296
2017-11-28,0.33679444905807526,-0.015266917441734973,0.0,0.3215275316163403
2017-11-29,0.3351321808207332,-0.014256173671527927,0.0,0.3208760071492053
2017-11-30,0.3337840185851636,-0.013482948858292876,0.0,0.3203010697268707
2017-12-01,0.33265167924349215,-0.012897672600580556,0.0,0.3197540066429116
2010-12-18,0.3208748017052363,-0.0022519775977415946,0.0,0.3186228241074947
2017-12-02,0.33103991752290357,-0.011712826167975365,0.0,0.3193270913549282
2017-12-04,0.3280223229503568,-0.0089279135638477,0.0,0.3190944093865091
1990-06-23,0.33187467075890126,-0.01666453030570414,0.0,0.3152101404531971
1990-06-22,0.3339804033201016,-0.017844060657556726,0.0,0.31613634266254487
1990-06-21,0.33640372001530844,-0.019323835905380005,0.0,0.31707988410992843
1996-05-27,0.3121114552406165,-0.013627751475922045,0.0,0.29848370376469446
2008-11-06,0.32542266968610056,-0.010478189285759276,0.0,0.3149444804003413
2008-11-27,0.318262823387047,-0.007234795517032266,0.0,0.3110280278700147
2017-12-03,0.3291031262412771,-0.010050040913872238,0.0,0.31905308532740484
2011-09-14,0.2575724781516502,-0.00362991982733174,0.0,0.25394255832431845
2011-09-15,0.2571896271330305,-0.0033736884203797723,0.0,0.25381593871265073
2011-09-16,0.2568917967674697,-0.002617650504145752,0.0,0.25427414626332395
2009-01-23,0.31579037038734786,-0.008740576515094911,0.0,0.30704979387225295
2009-01-24,0.3148411419698568,-0.00830578277443833,0.0,0.30653535919541847
2009-01-25,0.31397572597603607,-0.007629016404868794,0.0,0.3063467095711673
2009-01-26,0.31336608308048447,-0.007191232194700137,0.0,0.30617485088578433
2009-01-27,0.312672778388193,-0.006207350584178484,0.0,0.30646542780401453
2016-07-25,0.3412722622320137,-0.023617037456673984,0.0,0.3176552247753397
2009-03-05,0.31234976589959107,-0.008411193342964807,0.0,0.30393857255662626
2009-01-22,0.3167902808030375,-0.009148155419071158,0.0,0.30764212538396635
2009-03-06,0.31150807568280064,-0.00820714013315127,0.0,0.3033009355496494
2009-03-08,0.30995182266433696,-0.007553619377097198,0.0,0.30239820328723976
2009-03-09,0.3092603269950511,-0.007449710578350088,0.0,0.30181061641670104
2009-03-10,0.3085557460664996,-0.007073839393134773,0.0,0.30148190667336483
2009-03-11,0.30782859423880476,0.005218260667222807,0.0,0.31304685490602757
1998-06-28,0.3335834792895148,-0.02476578806307339,0.0,0.3088176912264414
1998-06-29,0.3296696476249239,-0.02182596948104054,0.0,0.30784367814388336
1998-06-30,0.32671868629251655,-0.01994844571838006,0.0,0.3067702405741365
2009-03-07,0.3107330467746103,-0.007943258249420604,0.0,0.3027897885251897
2005-07-02,0.3237500304739219,-0.01355271826682436,0.0,0.31019731220709756
2010-12-15,0.321578002779689,-0.002506592389914686,0.0,0.3190714103897743
2010-12-17,0.3210709299672929,-0.002334619502321389,0.0,0.31873631046497153
1988-02-01,0.3426740740091467,-0.011037818683855671,0.0,0.331636255325291
2006-01-16,0.3073107285676093,-0.0028587838646573216,0.0,0.304451944702952
2006-01-15,0.30777444267889453,-0.0034469282476751184,0.0,0.3043275144312194
2006-01-14,0.30805668797808206,-0.0036132602317185958,0.0,0.30444342774636346
2006-01-13,0.30832357961500007,-0.003694183746566604,0.0,0.30462939586843346
2006-01-12,0.3086238965033586,-0.00388654654962739,0.0,0.3047373499537312
2006-01-11,0.3090344433792257,-0.004131551643612008,0.0,0.3049028917356137
2010-12-16,0.3213056984293789,-0.0024470793254833256,0.0,0.31885861910389557
2006-01-10,0.3096254396035565,-0.004568545223093523,0.0,0.30505689438046296
2006-01-08,0.31063717005514957,-0.005134416961145916,0.0,0.30550275309400365
2006-01-07,0.3112100473381735,-0.005398985986506177,0.0,0.3058110613516673
2006-01-06,0.31165365093301994,-0.00562908329964662,0.0,0.3060245676333733
2006-01-05,0.3119920528658224,-0.005734337241877052,0.0,0.3062577156239453
2006-01-04,0.31227148339120614,-0.0056839543549084826,0.0,0.30658752903629766
2006-01-03,0.31258383093605485,-0.005631171507417931,0.0,0.3069526594286369
2006-01-02,0.31298606504802856,-0.005675336480419235,0.0,0.3073107285676093
2006-01-09,0.3101574755621477,-0.004905446885958009,0.0,0.30525202867618967
1986-01-06,0.3539150453551797,-0.01058438062887207,0.0,0.34333066472630763
1984-09-20,0.24493375231376618,-0.0069225053946832815,0.0,0.2380112469190829
2000-02-18,0.3245196989489064,-0.01648962458536163,0.0,0.3080300743635448
2000-01-25,0.32271394731158837,-0.015632888173790993,0.0,0.3070810591377974
2000-01-24,0.32476565537087226,-0.017202354580829637,0.0,0.3075633007900426
1987-10-15,0.3222687230309649,-0.0073111548002010585,0.0,0.3149575682307638
1993-07-20,0.3205348311525802,-0.01888113050127621,0.0,0.301653700651304
1993-07-18,0.3245273286421683,-0.020823410773943785,0.0,0.30370391786822454
1993-07-17,0.32699448934431435,-0.0222304567833409,0.0,0.30476403256097345
1993-07-16,0.3297396891475401,-0.02380264475975291,0.0,0.3059370443877872
1993-07-15,0.33301505567843176,-0.025867167464059204,0.0,0.30714788821437256
1993-07-14,0.3368809378416133,-0.02846675302118895,0.0,0.3084141848204244
2000-01-06,0.3122550224174485,-0.010109288077847667,0.0,0.30214573433960085
2000-01-05,0.31244912653638834,-0.011183533205063323,0.0,0.301265593331325
1999-11-23,0.2912907611079957,-0.004320226550904083,0.0,0.2869705345570916
1999-11-22,0.2923462393624145,-0.00860547122924532,0.0,0.2837407681331692
1999-11-21,0.2934726419032519,-0.009505617336534877,0.0,0.283967024566717
1999-11-20,0.29466294668728077,-0.01033401852989052,0.0,0.28432892815739025
1999-11-19,0.29582746491217954,-0.011066146831389734,0.0,0.2847613180807898
1999-11-18,0.2970028454171087,-0.011836622435316857,0.0,0.28516622298179184
2001-11-01,0.3289516838257178,-0.014090721880130053,0.0,0.31486096194558777
2001-10-31,0.3308835434145192,-0.015609084833533349,0.0,0.31527445858098585
1993-07-26,0.31105199126477734,-0.014758380998384057,0.0,0.2962936102663933
2001-10-30,0.3332571973608982,-0.01750336696707705,0.0,0.31575383039382116
2000-01-26,0.321337053471145,-0.01417387651620966,0.0,0.30716317695493534
1993-07-19,0.3223806827641475,-0.019710327681895512,0.0,0.302670355082252
1993-07-23,0.3153867690627957,-0.016597704657337953,0.0,0.29878906440545777
1993-07-24,0.31385603241774507,-0.015937932562279544,0.0,0.2979180998554655
1993-07-25,0.31239078677646703,-0.015293878162427499,0.0,0.29709690861403953
2015-07-28,0.3384732695452381,-0.01399949509757209,0.0,0.324473774447666
2015-07-27,0.3402488047346847,-0.015107078271163255,0.0,0.32514172646352146
2002-01-01,0.38864954178909805,-0.024429495550085167,0.0,0.3642200462390129
2002-01-02,0.38405556611207814,-0.021546238773111348,0.0,0.3625093273389668
1993-07-21,0.3187897018195491,-0.018134660073408138,0.0,0.30065504174614094
2015-07-26,0.3422212785290764,-0.016381669214485473,0.0,0.32583960931459094
1987-10-18,0.31957549337544755,-0.004327800535770754,0.0,0.3152476928396768
1991-10-19,0.32350372030364594,-0.008178170482019076,0.0,0.31532554982162686
2022-07-30,0.2813753241044153,-0.017165409630121753,0.0,0.26420991447429354
2001-11-04,0.324385293446207,-0.011001321114414708,0.0,0.31338397233179227
2001-11-03,0.3258503569638849,-0.011961191335248589,0.0,0.31388916562863634
1987-10-17,0.3203054899737744,-0.00574558348130888,0.0,0.3145599064924655
2001-11-02,0.3274075964494714,-0.013024599894000788,0.0,0.31438299655547064
1991-10-20,0.3225725345498129,-0.007418391961304005,0.0,0.3151541425885089
2022-08-07,0.26951489918589305,-0.010690082166632309,0.0,0.25882481701926074
2000-01-27,0.3199243462032074,-0.011335508707112973,0.0,0.30858883749609445
2022-08-06,0.2705844425245457,-0.01125300843041499,0.0,0.25933143409413073
1993-07-22,0.3170846446065695,-0.017374862697543902,0.0,0.2997097819090256
2022-08-05,0.27170527401159045,-0.01170899685858795,0.0,0.2599962771530025
1999-11-16,0.3008476218119433,-0.01460730882939043,0.0,0.28624031298255287
2021-11-25,0.33263672239640746,-0.01155375898720451,0.0,0.32108296340920295
2021-11-24,0.3339469238601072,-0.012572415277911198,0.0,0.321374508582196
2021-11-23,0.3350048804953275,-0.013164936198168609,0.0,0.3218399442971589
2021-11-22,0.3362951632080262,-0.013910251533886642,0.0,0.3223849116741396
2015-07-30,0.3355518859425239,-0.012382434223012495,0.0,0.3231694517195114
2015-07-29,0.3369002842959843,-0.013102068631288266,0.0,0.323798215664696
2000-04-28,0.35074417513234235,-0.03312399907963992,0.0,0.31762017605270243
2021-11-21,0.33774397872942696,-0.014827106088766806,0.0,0.32291687264066016
2021-11-20,0.3391142029893751,-0.01586945665983419,0.0,0.3232447463295409
2021-11-19,0.3407176133787197,-0.016847680868550485,0.0,0.3238699325101692
1987-10-14,0.3235122556868575,-0.008324824761002714,0.0,0.3151874309258548
1986-02-28,0.36070922881819284,-0.020489222966982412,0.0,0.3402200058512104
1986-02-27,0.36210157038238866,-0.02085175820515306,0.0,0.3412498121772356
1986-02-26,0.3625606609111274,-0.02031635231717266,0.0,0.3422443085939547
1986-01-07,0.35271425603689305,-0.009676953005791245,0.0,0.3430373030311018
1986-02-02,0.3408297676627597,-0.007914259458512485,0.0,0.3329155082042472
1993-07-30,0.3059370443877872,-0.012483348909775427,0.0,0.29345369547801176
1996-01-17,0.32788106660061433,-0.006778682602022135,0.0,0.3211023839985922
1989-09-09,0.3103621242090017,-0.006744225888216437,0.0,0.3036178983207853
2015-07-31,0.33429754692925917,-0.011700836435729334,0.0,0.32259671049352984
1999-11-17,0.29859550365763515,-0.012929365535190473,0.0,0.2856661381224447
2010-10-11,0.34099804622669266,-0.011824207605162174,0.0,0.3291738386215305
2022-07-31,0.2791097810838931,-0.01564435060464925,0.0,0.26346543047924387
1993-07-13,0.34149580888065645,-0.03174906210371281,0.0,0.30974674677694364
1993-07-12,0.3472890710348684,-0.03623707977009105,0.0,0.31105199126477734
2001-10-29,0.3364729162701576,-0.020158160615260157,0.0,0.3163147556548974
2012-12-01,0.2981442875105715,-0.0007030243074291342,0.0,0.29744126320314235
2012-11-30,0.2982224073932947,-0.0007416400814698187,0.0,0.2974807673118249
2022-08-04,0.2728952798986523,-0.01220222013538741,0.0,0.2606930597632649
2012-11-29,0.29831611898454596,-0.0008081786173371741,0.0,0.2975079403672088
2012-11-28,0.29844583234052013,-0.000928156931233437,0.0,0.2975176754092867
1986-03-03,0.35517339087338146,-0.014483412929726602,0.0,0.34068997794365485
1986-03-02,0.3572366809223104,-0.01815042726338134,0.0,0.3390862536589291
1986-03-01,0.35890057498774286,-0.019272376346540887,0.0,0.339628198641202
1993-07-29,0.30714788821437256,-0.013025891471719453,0.0,0.2941219967426531
2022-08-03,0.27413635410020787,-0.01274161388741879,0.0,0.2613947402127891
1991-10-17,0.3260377870028053,-0.01025421346820965,0.0,0.31578357353459563
1993-07-27,0.30974674677694364,-0.01430429265501687,0.0,0.29544245412192677
1993-07-28,0.3084141848204244,-0.013752477216412817,0.0,0.29466170760401156
1987-10-16,0.3212333117975838,-0.0064789922188476234,0.0,0.3147543195787362
2022-08-02,0.275561898082263,-0.01349600519204569,0.0,0.2620658928902173
2022-08-01,0.27719877271892485,-0.014443036341868387,0.0,0.26275573637705646
2015-08-01,0.33317350063927975,-0.010755525818269052,0.0,0.3224179748210107
1991-10-18,0.32467231209781916,-0.009134608851439685,0.0,0.3155377032463795
2012-12-07,0.297831095983534,-0.0007079227894801199,2.3779528118537586e-08,0.2971231731940539
2012-12-02,0.2980452062728029,-0.0006406951836155361,2.3779528118537586e-08,0.29740451108918736
2012-12-06,0.2978731410378313,-0.0007181787050540844,2.3779528118537586e-08,0.2971549623327772
2012-12-05,0.2979537622275033,-0.0007436098017696846,2.3779528118537586e-08,0.2972101524257336
2012-12-03,0.2980175179147626,-0.0006680218656126558,2.3779528118537586e-08,0.29734949604914995
2012-12-04,0.29802264544402346,-0.0007342430778898845,2.3779528118537586e-08,0.2972884023661336
1999-01-20,0.36150351440453243,-0.010828450893130948,2.3779528258408203e-08,0.3506750635114015
2020-10-23,0.33786074331170385,0.00013161965440861012,1.0708661473271082e-07,0.33799236296611246
1988-02-02,0.3419674792221052,-0.011002532772012297,1.1889763723142216e-07,0.3309649464500929
1986-02-25,0.3625671920776866,-0.019155760462826965,1.1889763723579312e-07,0.34341143161485965
1983-01-18,0.3607927474872094,-0.013339734786981805,2.137795274191845e-07,0.3474530127002276
2011-02-24,0.3448746612550171,-0.009008983420364935,2.3779527531080996e-07,0.33586567783465215
2020-10-09,0.35402768258815426,-0.01616693927645041,2.755905517405848e-07,0.33786074331170385
2016-07-26,0.3375006133906316,-0.01641071814294942,3.0669291366556803e-07,0.32108989524768217
2010-12-14,0.32182294016654706,-0.0025679684716426454,5.000000000000001e-07,0.3192549716949044
2001-07-18,0.31108538266265456,-0.019668048009548855,7.834645676284869e-07,0.2914173346531057
2001-07-23,0.3012902335830904,-0.014260322661399039,7.834645676284869e-07,0.2870299109216914
2001-07-27,0.2963462086333901,-0.011914770386500795,7.834645676284869e-07,0.2844314382468893
2001-07-26,0.2973583806811474,-0.012347732606530493,7.834645676284869e-07,0.2850106480746169
2001-07-21,0.30451425325751197,-0.015740307029967815,7.834645676284869e-07,0.28877394622754415
2001-07-24,0.29977033907734263,-0.013525962167352912,7.834645676284869e-07,0.2862443769099897
2001-07-19,0.308528300897031,-0.017958570549665487,7.834645676284869e-07,0.2905697303473655
2001-07-20,0.30635259173492135,-0.01665015411150894,7.834645676284869e-07,0.2897024376234124
2001-07-22,0.3028249370944123,-0.014907186264215222,7.834645676284869e-07,0.2879177508301971
2001-07-25,0.2984630293078849,-0.012905185520475426,7.834645676284869e-07,0.28555784378740945
2000-02-20,0.32112592165265685,-0.014439744404232568,3.4921259850212573e-06,0.3066861772484243
2000-02-19,0.32231329360393657,-0.015254867501569513,3.4921259850212573e-06,0.30705842610236705
2000-02-21,0.32001937701211186,-0.011815963833973653,3.4921259850212573e-06,0.3082034131781382
2000-02-22,0.3188094588019407,-0.010526990697090621,3.4921259850212573e-06,0.3082824681048501
2020-06-18,0.3455675095669933,-0.026529122899687285,4.299724409728561e-06,0.319038386667306
1991-10-21,0.3217493030955407,-0.006915913805941476,5.704448818338156e-06,0.3148333892895992
1991-10-22,0.32106926085806464,-0.006536528920824403,5.704448818338156e-06,0.31453273193724024
1991-10-23,0.3203999853392948,-0.005069299417884698,5.704448818338156e-06,0.3153306859214101
