,min,5%,25%,mean,75%,95%,max
1900-01-01,0.33212056182637284,0.33957145622591633,0.3514681884229168,0.3714457266330261,0.3928100436532242,0.416854796613795,0.4294904316038153
1900-01-02,0.33206646903828474,0.3394901859324768,0.35171482867411447,0.3714303190519624,0.39249281644139655,0.41657512687482795,0.42796716474068597
1900-01-03,0.3320179400439772,0.3394352199059741,0.35199413678169855,0.3714132577852131,0.39214671145383556,0.41629416789268125,0.42688770158125044
1900-01-04,0.3319752325945785,0.33936403896646233,0.35191513581977923,0.3714121176082086,0.39182179923813926,0.41625791731443834,0.42581778093549927
1900-01-05,0.3319370172187084,0.3393011421941808,0.3522362591775682,0.37144993682230754,0.3914954023478573,0.41741913174824596,0.4248500898178897
1900-01-06,0.3318664969128491,0.3392272321279208,0.35332538149395093,0.3714781610395969,0.3911495966969951,0.4180878139826042,0.42382815147637665
1900-01-07,0.33180616850467776,0.33916714820980726,0.3535585808514209,0.37160177028259356,0.3908256524321348,0.4174088828388697,0.42298476784376293
1900-01-08,0.3317646117221114,0.3391182565581739,0.3537618127546008,0.3716431867899911,0.3905384196076936,0.416578332757639,0.4232015326912255
1900-01-09,0.33171983511632336,0.3391087205968003,0.3539198168727361,0.37157013638464237,0.39027126498298087,0.4158463020874435,0.4231438111449316
1900-01-10,0.33167527805459684,0.3392840131520152,0.3540472293116139,0.3715274933561111,0.3899446792792355,0.415212032078946,0.4227300306187377
1900-01-11,0.33162728375547484,0.33948325349831127,0.3541532627578593,0.3715305204190462,0.3895690686209772,0.41467331797252793,0.4222034566345385
1900-01-12,0.3315836443181736,0.33971782753972907,0.35424051012918567,0.37153443116855667,0.3891847521044099,0.4141320207079129,0.4218964329006464
1900-01-13,0.331565439145457,0.3399036378614869,0.35430220187537376,0.37152866761164344,0.3887765085656837,0.4135147249617277,0.4216766690627171
1900-01-14,0.3315867265926663,0.3400579009658363,0.3542976692497585,0.3715295833614241,0.3884344371821527,0.41286067920017766,0.4211222803959529
1900-01-15,0.3315967362941799,0.3400435533662572,0.3542747824793563,0.37151254168223025,0.3881791664605512,0.41215955856486813,0.42039728388284653
1900-01-16,0.33157529227231475,0.33996253779889224,0.35423418375724325,0.3715052060391604,0.3881890935295778,0.4114955504304538,0.41965861436271723
1900-01-17,0.33155489102604574,0.33989353113176174,0.35432989551693733,0.3715657375512894,0.3883529466971627,0.41090397016731994,0.41895236722763207
1900-01-18,0.33152123262003685,0.339809937609689,0.35484505710404113,0.37167092258409157,0.3879643156171974,0.41035903978779475,0.4182247977525704
1900-01-19,0.3315074295786423,0.3397254453772096,0.3554008949126571,0.37181349434671,0.3875028780521614,0.40995834533319575,0.4176012697416608
1900-01-20,0.33156485764919597,0.3396863970216316,0.3556572804960581,0.37191769711955547,0.3870562648864842,0.4095951797504417,0.41780070038259076
1900-01-21,0.33166487769793457,0.3396269239037398,0.355667754661941,0.3719890793440192,0.3866219427583966,0.409339092182629,0.41810191366281074
1900-01-22,0.3317286191031402,0.3395523671535704,0.355697252512138,0.3720571819780145,0.38618505491107996,0.40899790040350825,0.41903613055352223
1900-01-23,0.33178146203164943,0.33946948287870954,0.35583736865053767,0.3721032170267854,0.3857525268483258,0.40866101438957986,0.41950284042492597
1900-01-24,0.3318440387466166,0.3393952167270019,0.35597686579595056,0.3721139168344122,0.3852968478401579,0.40827676895550086,0.41930573699862667
1900-01-25,0.3319228964426492,0.33932821926181866,0.3559650248893598,0.372075735750499,0.3852711587670741,0.40781367968130094,0.4187698408833908
1900-01-26,0.3320684255600028,0.33926143059559244,0.35610131700160874,0.37202260149897953,0.38587735815659485,0.40725724688939813,0.4183936365257098
1900-01-27,0.33226053046673626,0.3391879594458198,0.3566914547661714,0.3720164989972518,0.3868779312329172,0.4066911988069913,0.4207000212039598
1900-01-28,0.33267378409847326,0.3391158488914877,0.3567962857953968,0.3720506463556213,0.3875310798173607,0.40609859160371253,0.4232410477948843
1900-01-29,0.3341026611987104,0.33903672141620517,0.35664850258015934,0.3721495054753209,0.38792200481791694,0.4054880186388915,0.4235441305423344
1900-01-30,0.33561347168107847,0.33896957178616294,0.3565350759123151,0.3724063160846417,0.38810729421462115,0.40832773151142565,0.423300460416573
1900-01-31,0.33580277679248394,0.3389356499192991,0.3564107629498695,0.3725361842020559,0.3881973439500633,0.40869407805366886,0.422976003063438
1900-02-01,0.33577977375293905,0.3394232057738312,0.35606391688760997,0.3727649086709343,0.38842319549692,0.40818181068086995,0.4225221038567591
1900-02-02,0.3357525161330389,0.3403728315887719,0.35598226385450943,0.37283260290098985,0.38856033595631395,0.40748742582918646,0.4221887427196387
1900-02-03,0.3357199534370166,0.34104101214125226,0.355939453665574,0.3729273930063968,0.38864660930812317,0.4070048578728999,0.4240595176741033
1900-02-04,0.3357012388355255,0.3410435191521184,0.3559177942384872,0.37321730157506167,0.38848262862943866,0.40656453666846937,0.4281459691652881
1900-02-05,0.33567922460213423,0.340983819837741,0.355880212540062,0.37363519444557963,0.3888746320608018,0.4062726017362007,0.4355089891079329
1900-02-06,0.33565119670596305,0.34093633046359656,0.3558702352330231,0.373873184988772,0.3895989775595199,0.40643765216930755,0.4383629333527606
1900-02-07,0.33561006346387723,0.3408760094172916,0.35587679399581024,0.3739453195972365,0.39001211009785913,0.4065551139353972,0.4382713133642494
1900-02-08,0.3355598111540132,0.3408215778872085,0.3558784186927974,0.3739311823470248,0.3905871845407652,0.40654294761017856,0.4373935373108595
