,sm_initial,sm_difference,prec_rollingsum,sm_final
1990-06-19,0.3523227017889237,-0.0349367907382086,0.0,0.3173859110507151
1986-02-28,0.3645363128547155,-0.02038768067570418,0.0,0.3441486321790113
1986-02-27,0.3667066033896924,-0.022077333144007394,0.0,0.344629270245685
1986-02-26,0.3672500130554146,-0.02191328454182545,0.0,0.34533672851358915
1986-02-25,0.3688691363973541,-0.02268459114506388,0.0,0.3461845452522902
2006-05-30,0.3202401321025486,-0.01301825976500176,0.0,0.30722187233754683
1986-02-03,0.339581012467611,0.017968627329839226,0.0,0.35754963979745025
1986-02-02,0.3404662926698979,-0.006039342301952466,0.0,0.33442695036794545
1986-03-01,0.3621440580638397,-0.018310263961393902,0.0,0.3438337941024458
1986-01-17,0.3501179189639178,-0.008764152024077154,0.0,0.34135376693984065
1986-01-15,0.3517923386100819,-0.010482578674809562,0.0,0.34130975993527235
1986-01-14,0.3529946393579946,-0.011439339088294254,0.0,0.3415553002697003
1986-01-13,0.35362400041594677,-0.011684935482600578,0.0,0.3419390649333462
2018-05-21,0.36456660645315997,-0.006057366519417573,0.0,0.3585092399337424
1986-01-12,0.3537661547359527,-0.011363696914397703,0.0,0.342402457821555
1986-01-11,0.35425281054061103,-0.01160070841490718,0.0,0.34265210212570385
1986-01-10,0.3545373202229454,-0.011363097653628251,0.0,0.3431742225693171
1986-01-16,0.3509402129931387,-0.009988022293490939,0.0,0.3409521906996478
1986-01-09,0.3532479004908519,-0.009513150661898617,0.0,0.3437347498289533
1986-03-02,0.3605757346372549,-0.01706044763376291,0.0,0.343515287003492
1986-04-02,0.34202353557154597,-0.006288489799592567,0.0,0.3357350457719534
2006-01-05,0.2699263022882826,-0.0032877630213273834,0.0,0.26663853926695524
2006-01-06,0.2696745489728452,-0.003120364358134342,0.0,0.26655418461471087
2006-01-07,0.26942665025732465,-0.0029085643381248083,0.0,0.26651808591919984
2006-01-08,0.2690322264843799,-0.0025992085310500013,0.0,0.2664330179533299
2006-01-09,0.26863254081525967,-0.002258161494768429,0.0,0.26637437932049124
2006-01-10,0.26828261698719347,-0.001714570117716141,0.0,0.2665680468694773
2006-01-11,0.2680100577244611,-0.0013577509246029407,0.0,0.2666523067998582
1986-03-03,0.358440321079059,-0.013208859485468183,0.0,0.3452314615935908
2006-01-12,0.2678268656403446,-0.00125129321546269,0.0,0.2665755724248819
2006-01-14,0.26761282902449557,-0.0009409611932635342,0.0,0.26667186783123203
2006-01-15,0.26758095995015724,-0.0014160242016821867,0.0,0.26616493574847505
2006-01-16,0.26747426060361,-0.0005500962560495148,0.0,0.2669241643475605
2006-01-17,0.26727386780231144,0.000746881894135909,0.0,0.26802074969644735
1986-04-04,0.34036139690495676,-0.0019861009716442,0.0,0.33837529593331256
2018-07-28,0.28239563532228495,-0.029331083194514385,0.0,0.25306455212777057
1986-04-03,0.34107225936065116,-0.0050812441837824185,0.0,0.33599101517686875
2006-01-13,0.26771428193966135,-0.0009831317535383133,0.0,0.26673115018612303
2005-11-27,0.26557780904307304,0.006682842047864845,0.0,0.2722606510909379
1986-01-08,0.35664683025110777,-0.01205127905574932,0.0,0.34459555119535845
1986-01-06,0.3604417360630111,-0.01416570108912174,0.0,0.34627603497388937
2006-11-25,0.2995337800144538,-0.008447937580841225,0.0,0.2910858424336126
2006-11-26,0.2980608395713702,-0.007101676998217288,0.0,0.2909591625731529
2006-11-27,0.2969895913544348,-0.006125945148631906,0.0,0.2908636462058029
2006-11-28,0.29612020896043123,-0.004795162891752691,0.0,0.29132504606867854
2007-03-12,0.33841978621269486,0.026094178081519315,0.0,0.3645139642942142
2007-09-26,0.3492297855071287,-0.018272158708854958,0.0,0.33095762679827373
2017-12-04,0.3094334500064384,-0.005373165368665167,0.0,0.30406028463777324
2006-11-24,0.3020210427675751,-0.010962298519336444,0.0,0.29105874424823863
2017-12-03,0.31056883652359646,-0.006879772668395401,0.0,0.30368906385520106
2017-12-01,0.31462014088845003,-0.011139989002969697,0.0,0.30348015188548033
2007-09-27,0.34597848847017093,-0.015418604576264927,0.0,0.330559883893906
1990-06-20,0.3455417955488893,-0.029739404018012283,0.0,0.315802391530877
2007-11-07,0.3365757931666744,-0.008380990487399265,0.0,0.32819480267927514
2007-11-08,0.33462193435752496,-0.006601153139494775,0.0,0.3280207812180302
2007-11-09,0.33341946542997697,-0.005535462582921036,0.0,0.32788400284705593
2007-11-10,0.33235368788393677,-0.004555323267031397,0.0,0.32779836461690537
2017-12-02,0.3126551957550661,-0.009227492718606012,0.0,0.3034277030364601
1986-01-07,0.35898180731102125,-0.01331444923304237,0.0,0.3456673580779789
2006-11-23,0.30437568331312304,-0.013255132082364784,0.0,0.29112055123075825
2006-10-10,0.23817048050299064,0.007342170010487287,0.0,0.24551265051347793
1986-01-05,0.361407234085134,-0.014494101790068936,0.0,0.34691313229506504
1986-01-04,0.36156553944942577,-0.012359637383607847,0.0,0.3492059020658179
1986-01-03,0.3623710715749959,-0.012253152611078066,0.0,0.3501179189639178
1986-01-02,0.36249664376958174,-0.011556430776443027,0.0,0.3509402129931387
1986-01-01,0.3656855306970519,-0.013893192086969985,0.0,0.3517923386100819
1985-12-31,0.36778248331244573,-0.014787843954451152,0.0,0.3529946393579946
1985-12-30,0.368360166827981,-0.014736166412034235,0.0,0.35362400041594677
2006-11-22,0.30709348361734456,-0.015761752891437997,0.0,0.29133173072590657
1985-12-29,0.3672088438405545,-0.013442689104601835,0.0,0.3537661547359527
2006-06-17,0.3010948311216366,-0.015429963467494479,0.0,0.2856648676541421
2006-07-21,0.3013917513011961,-0.030877023264811287,0.0,0.2705147280363848
2006-08-05,0.2667737711585245,-0.023400833415988365,0.0,0.24337293774253616
2006-08-06,0.2644140388295356,-0.022374361577125162,0.0,0.24203967725241046
2006-08-07,0.2622265301794835,-0.014931076943842048,0.0,0.24729545323564145
2006-08-23,0.243141903384927,-0.01629235770768686,0.0,0.22684954567724014
2006-10-09,0.2389318838387394,-0.00661887965967442,0.0,0.23231300417906497
1985-12-28,0.36949641164120883,-0.015243601100597803,0.0,0.35425281054061103
2005-11-26,0.2657082391160899,0.0019510268187389879,0.0,0.26765926593482886
2005-11-25,0.2658705730592316,-0.0013188666330637977,0.0,0.2645517064261678
2005-11-24,0.2662858955682355,-0.0016558483616094244,0.0,0.2646300472066261
2001-07-18,0.3028749565013303,-0.03141240476932233,0.0,0.27146255173200795
2001-07-19,0.2987006973582838,-0.02886248060381008,0.0,0.2698382167544737
2001-07-20,0.2954798910958946,-0.027198095675885103,0.0,0.2682817954200095
2001-07-21,0.29294409401974697,-0.026575436673054176,0.0,0.2663686573466928
2001-07-22,0.2905462835016088,-0.02576841799415608,0.0,0.26477786550745275
2001-07-23,0.2883194053521041,-0.02479159394349084,0.0,0.26352781140861326
2001-07-24,0.28609207099117484,-0.0238499600316861,0.0,0.26224211095948874
2001-07-17,0.3078255173760933,-0.03442130469124277,0.0,0.27340421268485054
2001-07-25,0.2842096923932233,-0.02341070382079069,0.0,0.2607989885724326
2001-07-27,0.2806152277100999,-0.023069838495839212,0.0,0.2575453892142607
2001-07-28,0.2787045562714341,-0.02260203620822704,0.0,0.25610252006320705
2001-08-15,0.25073259650199453,-0.015044609796260044,0.0,0.2356879867057345
2001-08-16,0.24953205100820655,-0.01424740932848434,0.0,0.2352846416797222
2001-10-29,0.3530044189071319,-0.027164285769893493,0.0,0.3258401331372384
2001-10-30,0.345989903421279,-0.02025199063961114,0.0,0.32573791278166786
2001-10-31,0.3417613029250404,-0.01625722749490327,0.0,0.32550407543013715
2001-07-26,0.28237491829755584,-0.02334981892661625,0.0,0.2590250993709396
2001-11-01,0.338710110657592,-0.013335230050046887,0.0,0.3253748806075451
2000-09-12,0.2732011135445933,-0.003723562850752704,0.0,0.2694775506938406
2000-09-10,0.27444732850830994,-0.006484291490157501,0.0,0.26796303701815244
1987-10-15,0.292884494636578,-0.004771345175816621,0.0,0.2881131494607614
1987-10-14,0.29395736279069007,-0.005872334124809198,0.0,0.28808502866588087
2019-10-05,0.2486408632545926,-0.004701525496879827,0.0,0.24393933775771276
2000-08-14,0.2980214391423296,-0.014584590166253408,0.0,0.2834368489760762
2000-08-15,0.2965698729777222,-0.013872881013084704,0.0,0.2826969919646375
2000-08-16,0.29543077684309144,-0.013500111818008309,0.0,0.2819306650250831
2000-08-17,0.29445223426718736,-0.013293229602506562,0.0,0.2811590046646808
2000-09-11,0.2738295699120936,-0.006192613875780961,0.0,0.26763695603631266
2000-08-18,0.2933341702524645,-0.01296847279365737,0.0,0.28036569745880713
2000-08-20,0.29105999689655665,-0.012115237577741078,0.0,0.27894475931881557
2000-08-21,0.29016333847204756,-0.011166408670504724,0.0,0.27899692980154284
2000-08-22,0.2891244580690587,-0.011133174828091563,0.0,0.2779912832409671
2000-09-06,0.27728158837722344,-0.007818823959593768,0.0,0.2694627644176297
2000-09-07,0.2764480456434305,-0.007275617269293544,0.0,0.26917242837413696
2000-09-08,0.27571917056886647,-0.006965242718910691,0.0,0.2687539278499558
2000-09-09,0.2749963383625774,-0.006724223903643078,0.0,0.26827211445893434
2000-08-19,0.29208438678752086,-0.012490137048197902,0.0,0.27959424973932295
