,sm_initial,sm_difference,prec_rollingsum,sm_final,tmean_rollingavg
2000-01-26,0.225076436875,-0.00030223237500001665,0.0,0.2247742045,56.42334586445854
2005-10-30,0.214660625875,-0.0029534987500000054,0.0,0.211707127125,62.88744055357439
2005-10-29,0.21485976,-0.0029883436250000006,0.0,0.211871416375,64.00184319169126
2005-10-28,0.215097237625,-0.0030788818749999947,0.0,0.21201835575,65.02736856722314
2005-01-28,0.328690916875,-0.006108325125000036,0.0,0.32258259175,47.24422227342524
1986-03-02,0.308549795,-0.011715637000000001,0.0,0.296834158,59.04672021779313
1986-03-03,0.30767452900000003,-0.011528603375000002,0.0,0.29614592562500003,58.6993499774819
1986-04-04,0.28503439,-0.00935745762500001,0.0,0.275676932375,61.22480058252636
2015-07-27,0.29574080412500003,-0.019191760625000054,0.0,0.2765490435,84.95459380202942
2000-01-27,0.225164249375,-0.00039953774999998415,0.0,0.224764711625,55.08771130468481
1991-10-21,0.287612042,-0.011051400749999996,0.0,0.27656064125,66.2498217948165
1987-04-29,0.299781546375,-0.01608483462499999,0.0,0.28369671175,67.83429261605421
1999-11-20,0.218475706875,-0.0024476777500000158,0.0,0.216028029125,62.75659341514178
2005-10-31,0.21442840462499999,-0.002930736124999972,0.0,0.2114976685,61.989585611842635
1999-11-19,0.218637285625,-0.0024456121249999963,0.0,0.21619167350000001,62.66773779576817
1999-11-17,0.21885206325,-0.0023482766250000064,0.0,0.216503786625,60.92076409205754
1999-11-16,0.218868722875,-0.0022439969999999976,0.0,0.216624725875,60.82109615826331
1987-10-14,0.21567762875,-0.0035006948749999878,0.0,0.212176933875,63.971375393370984
1987-10-15,0.215409038625,-0.0034682223749999963,0.0,0.21194081625,63.20987824580602
1987-10-16,0.215126739125,-0.003443115125000007,0.0,0.211683624,62.935301606994024
1987-10-17,0.214833298375,-0.0034252047500000216,0.0,0.211408093625,62.87909308917636
1987-10-18,0.21461461125,-0.0034356667500000104,0.0,0.2111789445,63.00093684084573
1981-11-27,0.241081822125,-0.0008087026250000184,0.0,0.2402731195,58.18468559090892
1981-11-26,0.2405612165,3.4837124999992364e-05,0.0,0.240596053625,56.88359160268562
1981-11-25,0.23986248925,0.0009628648749999968,0.0,0.240825354125,56.07951787634904
1991-10-23,0.28601731137499997,-0.010747158249999944,0.0,0.275270153125,66.84605141706284
1991-10-22,0.2868031635,-0.010917600000000027,0.0,0.2758855635,66.45593787055807
1999-11-18,0.2187862485,-0.0024237742500000103,0.0,0.21636247425,61.90470445029119
2005-11-01,0.214184569625,-0.0028448951249999965,0.0,0.2113396745,61.453186624073446
2000-01-25,0.22491226275,-0.00011710200000000781,0.0,0.22479516075,57.52368263944861
1991-10-20,0.288425507625,-0.01119278112500005,0.0,0.27723272649999997,65.83654615933233
2022-10-13,0.226764333125,-0.005306926624999986,0.0,0.2214574065,69.0297053395716
2022-10-12,0.227117511625,-0.005220452624999983,0.0,0.221897059,68.96612384632651
2022-10-11,0.227519327,-0.005229638624999977,0.0,0.22228968837500002,68.86795762003207
2010-10-11,0.1990066085,-0.0030748676249999773,0.0,0.195931740875,66.74707543219431
2010-10-12,0.198780746875,-0.0030646832500000054,0.0,0.195716063625,66.83508633687488
1998-05-27,0.2816465045,-0.015766114624999994,3.2427881286970856e-05,0.265880389875,77.86965824084142
1998-05-26,0.282743973,-0.0159051865,3.2427881286970856e-05,0.2668387865,77.46906524315497
1998-05-25,0.28391558,-0.015987251874999997,3.2427881286970856e-05,0.267928328125,76.8769615822156
1998-05-24,0.285039718875,-0.016073674625000034,3.2427881286970856e-05,0.26896604425,76.61694231496801
1981-10-03,0.227393567,-0.005625662124999986,4.013955520590951e-05,0.221767904875,73.77719533971795
1981-10-04,0.22713808525,-0.00569891412500001,4.013955520590951e-05,0.221439171125,74.62721438907123
1981-10-06,0.226442530875,-0.00543246,4.013955520590951e-05,0.221010070875,76.31917507435044
1981-10-05,0.226826978625,-0.005671587375000009,4.013955520590951e-05,0.22115539125,75.31984189005516
1981-10-02,0.22758211475,-0.005455042000000021,4.013955520590951e-05,0.22212707275,72.58562530755844
2005-05-26,0.289399005625,-0.015830586749999986,5.4325591902309446e-05,0.273568418875,75.78552559935945
2005-05-25,0.29030169175,-0.015725585999999958,5.4325591902309446e-05,0.27457610575,75.58620122581583
1995-12-06,0.22392512275,-0.0022369725000000173,5.6007195846177946e-05,0.22168815025,56.869181582244686
2009-01-22,0.247268390875,0.001961938750000003,0.00013722484286853465,0.249230329625,46.391055467965245
2009-01-23,0.247952228625,0.00110774700000002,0.00013722484286853465,0.249059975625,46.11136298145356
2009-01-24,0.248452131375,0.0004872525000000072,0.00013722484286853465,0.248939383875,46.00999849281329
2005-05-24,0.29106574012499997,-0.015351687374999978,0.00015115559338323858,0.27571405275,74.95524904239552
1981-11-24,0.238853854125,0.002155328875000029,0.00015687762944524802,0.24100918300000002,55.054311628496684
2007-11-11,0.24071416725,-0.003925746750000014,0.00017026066644145984,0.23678842049999999,61.73666995781154
2007-11-10,0.240983938,-0.003917463499999996,0.00017026066644145984,0.2370664745,60.63233432872723
2007-11-09,0.24121759375000001,-0.0038538253750000084,0.00017026066644145984,0.237363768375,60.09206855752562
2007-11-08,0.241433339875,-0.0038400577500000144,0.00017026066644145984,0.237593282125,60.338185652239204
2018-05-21,0.313178649125,-0.020074829374999992,0.0003141849607613693,0.29310381975,77.19080336038425
2018-05-20,0.314099465875,-0.020089001750000002,0.0004371875428380662,0.294010464125,76.32705185243411
