,sm_initial,sm_difference,prec_rollingsum,sm_final,tmean_rollingavg
1981-11-24,0.349706150625,-0.003187410624999998,0.00034909164434463087,0.34651874,55.25188447621408
1986-02-27,0.334987209,-0.0016621121250000037,0.00035520127157996726,0.333325096875,54.83365855043286
1995-10-20,0.339331838875,-0.002668337750000027,0.00035554044989390474,0.336663501125,66.4173267502896
1995-10-21,0.339329601375,-0.002899706624999998,0.00035554044989390474,0.33642989475,66.4539841029978
1995-10-22,0.33925469925,-0.0030595141249999958,0.00035554044989390474,0.336195185125,66.31675298375342
1995-10-23,0.339135906125,-0.0031684987499999706,0.00035554044989390474,0.335967407375,66.37752061833304
1995-10-19,0.33924603575,-0.002349572249999987,0.00036307520849547954,0.3368964635,66.36611533203157
1995-10-18,0.3390591175,-0.00192974087500003,0.00036323296804810246,0.337129376625,66.1417566348558
1981-11-29,0.34916388975,-0.004231743750000017,0.00044512649286164267,0.344932146,57.3422300909077
1996-02-26,0.323884680125,-0.0018660172500000183,0.00044544705727262915,0.322018662875,57.65594422314102
2003-12-09,0.32123145325,-0.0013978061250000118,0.00047341185490619523,0.319833647125,48.88619279119972
2016-02-21,0.3741453875,-0.008709746624999959,0.0005745212109590495,0.365435640875,54.45429967031841
2010-12-23,0.33022735400000003,-0.0017591443750000213,0.0006233387945972508,0.328468209625,49.53123978779485
2010-12-24,0.330092387875,-0.0017373688750000338,0.0006233387945972508,0.32835501899999997,49.763541519614186
1999-01-20,0.32835311325,-0.0029541124999999946,0.0006666713676443262,0.32539900075,46.123799888292915
2009-01-27,0.31646940962500003,-0.0009619787500000365,0.0006778511546938256,0.315507430875,46.12738177982724
1991-10-19,0.33955665725,-0.00346663975,0.0006897273251931623,0.3360900175,67.13719895560828
1991-10-18,0.3397999955,-0.003495106375000001,0.0006986908390144458,0.336304889125,67.2697659137349
1991-10-17,0.340040035875,-0.0035090238749999614,0.0006986908390144458,0.336531012,67.60072021953093
1999-01-21,0.328164146375,-0.0029907082500000293,0.0007142130083150874,0.325173438125,47.205891699671135
2009-01-24,0.31665005075,-0.0009385993750000154,0.0007173401659754241,0.315711451375,46.383673716750415
2009-01-22,0.316762296875,-0.0009068122499999998,0.0007175092656241184,0.315855484625,45.66412074252429
2009-01-23,0.316706968,-0.0009236629999999635,0.0007175092656241184,0.315783305,45.97147080112269
1996-02-28,0.323636063,-0.0018999758749999596,0.0007506990689867552,0.321736087125,60.316806495610074
1988-10-24,0.314669624875,-0.001104517124999982,0.0007652921618849299,0.31356510775,66.35952723503587
2000-01-26,0.30184319225,-1.0136250000014613e-05,0.0007677827360399594,0.301833056,53.11605397436164
2000-01-24,0.301672891875,0.00021786024999997933,0.0007677827360399594,0.301890752125,54.64003921594915
2000-01-25,0.30177196700000003,9.242524999997226e-05,0.0007677827360399594,0.30186439225,54.0925099347445
1986-02-26,0.334868030875,-0.0013356067499999957,0.0007871649412303688,0.333532424125,52.012375075474004
1999-01-19,0.328544923,-0.0029142294999999763,0.0009728275066700545,0.3256306935,44.673439920501146
1999-01-18,0.328723642375,-0.0028670426249999825,0.0009728275066700545,0.32585659975000003,42.865172524722524
1999-11-17,0.303680846,-0.0006229367500000249,0.0009774393415553086,0.30305790925,62.651497031930795
1999-11-16,0.303698905125,-0.0005771058749999836,0.0010020915793864937,0.30312179925,62.157805240604965
2020-10-19,0.343357563125,-0.004292314124999974,0.0010161615885550127,0.339065249,69.65631758633415
2020-10-20,0.343007114125,-0.004203087750000001,0.0010161615885550127,0.338804026375,69.71746324453899
2020-10-21,0.34267013,-0.004120266625000035,0.0010365376278950993,0.338549863375,69.08427918259675
2020-10-22,0.34234543,-0.00405217687499998,0.0010365376278950993,0.338293253125,69.1312911565678
2012-11-27,0.306732212375,-0.0010585657499999623,0.0010717245382910637,0.305673646625,53.82974655290768
1999-01-17,0.3288815725,-0.002805137749999964,0.0011530387999293616,0.32607643475000003,41.31368174262673
1986-03-03,0.33507237925,-0.002666692000000026,0.0011721268632607744,0.33240568724999997,58.224378780302004
1986-03-02,0.335120720625,-0.00247217224999996,0.0011721268632607744,0.332648548375,58.17290439974107
2020-10-23,0.342021488625,-0.003969432874999956,0.0011863950762524339,0.33805205575,69.26761083912815
1999-01-22,0.3279740945,-0.0030212328750000017,0.0012722764745294614,0.324952861625,48.161760818635244
2014-01-08,0.3233925885,0.002192001249999964,0.0013360291833763953,0.32558458975,38.44257531585866
2014-01-07,0.32260225575,0.0030678582499999996,0.0013522139591817495,0.325670114,39.54673335750409
2014-01-06,0.321504295375,0.004229902625000004,0.0013971042131891984,0.32573419800000003,40.15193636047029
1994-01-07,0.32506396249999997,-0.0003411818749999851,0.0014941253573684881,0.324722780625,45.557916622844814
1988-10-23,0.31469115425,-0.0010192760000000134,0.0015428266431416976,0.31367187825,66.06815170048343
1994-01-08,0.325104303375,-0.0004857372500000068,0.0015652846386308423,0.324618566125,46.08923894251911
1994-01-09,0.325163979125,-0.0006559706250000019,0.0015652846386308423,0.3245080085,45.54607582715461
1994-01-10,0.32522395675,-0.0008257469999999878,0.0015714646345792109,0.32439820975,45.028715208298124
1988-10-19,0.314552988375,-0.0004809793750000235,0.0015762099691135126,0.314072009,65.87062339120895
1988-10-18,0.314435481125,-0.00027674125000004546,0.0015762099691135126,0.314158739875,65.02292667831195
1988-10-17,0.31425779725,-1.197900000005081e-05,0.0015762099691135126,0.31424581825,64.19196094356094
1988-10-22,0.314702071,-0.0009275683750000208,0.0015896062022860637,0.313774502625,66.09027458979857
1988-10-20,0.314635213875,-0.000661409125000012,0.0016078157022802685,0.31397380475,65.88600872922518
1995-10-24,0.338972686125,-0.0032438564999999753,0.001757326025911956,0.335728829625,66.4022696282328
1988-10-21,0.314687628625,-0.0008147490000000035,0.0017764511460489339,0.313872879625,65.8661720539272
1995-10-25,0.338782184875,-0.0032797328749999966,0.0018023897629198024,0.335502452,65.26639444602212
2000-02-18,0.301654356125,-0.00031039562500001505,0.0018678337736927298,0.3013439605,53.674863533899945
2006-11-27,0.3231873205,-0.0012554001249999724,0.001959631460177731,0.321931920375,54.70872970747967
2006-11-26,0.323206986125,-0.0011594376249999816,0.001959631460177731,0.3220475485,53.75142657232984
1995-10-26,0.338575367875,-0.003291559374999975,0.0021015086946222002,0.3352838085,64.2864653931368
1985-12-28,0.336994968625,-0.0017327861249999965,0.0021333880287661704,0.3352621825,40.419709455417625
2008-11-27,0.320930059,-0.0007515029999999867,0.002245284838052755,0.320178556,51.52445366830603
2008-11-28,0.320920113125,-0.0008174047500000281,0.002377913106334172,0.320102708375,51.54520995747538
2011-02-24,0.333669927,-0.0004643679999999928,0.0024752723695489263,0.333205559,52.2983766669772
2000-02-17,0.30164014675,-0.00024310437500002502,0.0025910187836582694,0.301397042375,52.540247560967245
1988-10-25,0.314632035375,-0.0011734843750000334,0.0026050021830521073,0.313458551,66.46260677804075
1999-11-23,0.30348764725,-0.0008288352499999929,0.0026486216320717494,0.302658812,63.315399544396435
1992-10-07,0.331158087875,-0.003024280250000011,0.002695492908360985,0.328133807625,67.04928108830629
1984-02-08,0.316645088375,-0.0008296573750000147,0.00276870493989093,0.315815431,46.90040091965494
1984-02-07,0.31665664625,-0.0007472880000000126,0.0028042235388874496,0.31590935825,46.83901323123469
1996-02-29,0.323511407875,-0.001913742875000013,0.002815058167775834,0.321597665,59.802640254417916
2009-03-08,0.314008481375,-0.0011039566250000132,0.0029004957798146845,0.31290452474999997,57.038606853069396
2006-01-15,0.3203307865,-0.0012722456250000014,0.003101830643689924,0.319058540875,53.76899425551743
2006-01-13,0.3205217875,-0.001292733749999997,0.003101830643689924,0.31922905375,54.00888508522625
2006-01-14,0.320430386625,-0.0012868664999999835,0.003101830643689924,0.319143520125,54.14635287017409
2006-01-11,0.3206965975,-0.001307704125000031,0.003101830643689924,0.319388893375,54.67465361203902
2006-01-12,0.320608798625,-0.001296055500000004,0.003101830643689924,0.319312743125,53.70857968649998
2000-02-19,0.301671920125,-0.00038023900000000443,0.0031165089914775724,0.301291681125,54.67150334010273
2009-03-06,0.3141251795,-0.0010518928750000156,0.003170321308751818,0.313073286625,53.49103502297017
2009-03-07,0.31406806600000003,-0.001080263625000022,0.003170321308751818,0.312987802375,55.615510565336805
1986-02-01,0.331091225,-0.002672579499999994,0.0031724049277936585,0.3284186455,50.36957105968609
2003-12-10,0.321187507,-0.0014837743749999688,0.003217653264383207,0.319703732625,50.42571660407497
1992-10-08,0.33093538525,-0.003019134624999975,0.0032270138939406896,0.327916250625,67.14824551692239
2008-11-06,0.32207779,-0.0006727873749999835,0.003239719601019179,0.321405002625,60.215725332836215
2001-11-01,0.31676210625,-0.0009541203749999783,0.0032507558812036614,0.31580798587500003,64.57591531179284
2001-10-31,0.3166430625,-0.0007186865000000098,0.0032507558812036614,0.315924376,63.86482056979639
2001-11-02,0.31681948937500004,-0.0011344511250000466,0.003255698556641693,0.31568503825,65.16683061494093
1986-01-02,0.336774015125,-0.0025117841249999717,0.0033021400879919695,0.334262231,44.21116764256523
2006-01-16,0.320228335,-0.0012512707499999776,0.0033028658694121407,0.31897706425,53.06710681415855
2009-03-05,0.31417606075,-0.0010175204999999798,0.003351514065232318,0.31315854025,52.47977549160387
2006-10-09,0.31386565237499997,-0.0011265417499999875,0.0034050567025775713,0.312739110625,73.09693967019129
2016-12-23,0.36259152112500004,-0.0033860532500000207,0.0034213102656970914,0.359205467875,41.42134595373712
2008-10-03,0.319262561625,-0.0011301630000000173,0.0035164368880369564,0.318132398625,71.13251054651866
2008-10-04,0.319283808,-0.0012711280000000102,0.0035290743342246615,0.31801268,71.41222953510184
1993-08-23,0.3211910905,-0.002925216499999994,0.0035293317965682507,0.318265874,85.91895552979747
1991-10-16,0.340271226375,-0.003490591749999994,0.0035368777005875362,0.336780634625,67.95765339412317
2008-11-05,0.321997890375,-0.0005015723749999812,0.0037175633038386393,0.321496318,60.07872305804364
2017-02-12,0.359994923625,-0.00538869525000002,0.0037562078140427704,0.354606228375,53.43510555769766
2017-02-13,0.359664696625,-0.005453291500000013,0.003756207814042771,0.354211405125,55.56092495711521
1989-12-28,0.319789037875,-0.0013658324999999971,0.003975048956000671,0.318423205375,28.476224240190948
1989-12-27,0.3198899625,-0.0013804653750000284,0.003975048956000671,0.318509497125,26.930168975648176
2016-12-24,0.362655964875,-0.0038285279999999977,0.0039888274456080525,0.358827436875,42.61815954683886
2020-10-15,0.34480071775,-0.004612916999999994,0.004003809227120619,0.34018780075,70.12473742643199
2020-10-14,0.345183852375,-0.004705333499999964,0.004003809227120619,0.340478518875,69.85368163725641
