,sm_initial,sm_difference,prec_rollingsum,sm_final
2012-11-26,0.33405450130888364,-0.0013398638733900237,0.0,0.3327146374354936
2016-06-20,0.4224730910826855,-0.0354778343915132,0.0,0.3869952566911723
2016-02-21,0.38168801150830345,-0.007615059995486229,0.0,0.3740729515128172
1990-06-21,0.35186686954625906,-0.012142071030491197,0.0,0.33972479851576787
1990-06-22,0.3505149825628127,-0.011438985423411152,0.0,0.33907599713940156
2006-01-13,0.33930044547591953,-0.00172581862440635,0.0,0.3375746268515132
2006-01-12,0.3394361491614148,-0.0017777521736758173,0.0,0.337658396987739
2006-01-11,0.3396653374815367,-0.0019149395539086456,0.0,0.33775039792762807
2006-01-10,0.3400012715529982,-0.002161211422568199,0.0,0.33784006013043
2006-01-09,0.3402730367010137,-0.002438261282821874,0.0,0.33783477541819185
2006-01-08,0.34055876800522455,-0.0025479881394295245,0.0,0.33801077986579503
1989-10-01,0.33528371003303087,-0.005207506130876338,0.0,0.33007620390215453
2006-01-07,0.3408419578138664,-0.0026760122960357013,0.0,0.3381659455178307
2006-01-06,0.3410431851296401,-0.0027660906257255258,0.0,0.3382770945039146
2006-01-05,0.3412571902010114,-0.0028699270048579972,0.0,0.3383872631961534
1990-06-20,0.35367674219565914,-0.013295139596734118,0.0,0.340381602598925
1989-10-02,0.33417488304608944,-0.0043300587141931746,0.0,0.32984482433189627
2006-01-03,0.3417113744452827,-0.0030391678577785797,0.0,0.33867220658750413
2006-01-02,0.34196246079501047,-0.003121932983340625,0.0,0.33884052781166984
2006-01-01,0.34220215457430186,-0.0031807307832886766,0.0,0.3390214237910132
2001-07-19,0.3485151880657536,-0.01273792791046724,0.0,0.33577726015528636
2005-10-04,0.3500607684049985,-0.004373971002045174,0.0,0.3456867974029533
2005-10-03,0.3508219948925782,-0.005027634103380918,0.0,0.3457943607891973
2005-10-02,0.3517607239561269,-0.0057950029628772715,0.0,0.3459657209932496
2005-07-06,0.3500320359863355,-0.007902114773743585,0.0,0.3421299212125919
2005-07-05,0.3508199364764396,-0.008455121563608059,0.0,0.34236481491283155
2005-07-04,0.3515527543319832,-0.0087414795376895,0.0,0.3428112747942937
2005-07-03,0.3523921491310917,-0.008989343747915934,0.0,0.34340280538317575
2005-07-02,0.35316954728991135,-0.0091800401333616,0.0,0.34398950715654975
2015-10-22,0.33233647183088233,-0.0010403656001411465,0.0,0.3312961062307412
2015-10-21,0.3324799319022148,-0.0015799934130166782,0.0,0.33089993848919813
2006-01-04,0.34144971267908697,-0.0029457229864346957,0.0,0.3385039896926523
2015-10-20,0.3326503112668368,-0.0017934149332879956,0.0,0.3308568963335488
1994-07-30,0.3348278788620126,-0.009414533781866075,0.0,0.3254133450801465
1989-09-30,0.3366987305403947,-0.006421919230562012,0.0,0.33027681130983266
2012-11-24,0.3342282166072146,-0.0012665378086076373,0.0,0.33296167879860694
2012-11-25,0.33419067321814605,-0.0015222651783500796,0.0,0.33266840803979597
2015-07-26,0.3659692179266255,-0.010954519942428742,0.0,0.35501469798419677
2012-11-27,0.333846981712667,-0.0010410189326117147,0.0,0.3328059627800553
2006-11-27,0.3404618108508483,-0.00221561520511121,0.0,0.3382461956457371
2006-11-26,0.34066754519113557,-0.002490361731795676,0.0,0.3381771834593399
2006-11-25,0.340957961183985,-0.0026723362297935704,0.0,0.33828562495419146
2006-11-24,0.3414107557750367,-0.0031024666657815114,0.0,0.3383082891092552
2006-11-23,0.3418044897285897,-0.0034717399443913166,0.0,0.33833274978419836
1995-10-23,0.3310381637055376,-0.0023915174781765636,0.0,0.32864664622736106
2001-11-03,0.3526051769120263,-0.006129535171768674,0.0,0.34647564174025763
2006-08-24,0.3313794937026356,-0.005300126852202491,0.0,0.3260793668504331
2006-08-23,0.331884838231677,-0.005647062945737968,0.0,0.32623777528593906
1993-07-31,0.35367079603252766,-0.008985096728873987,0.0,0.34468569930365367
1994-07-31,0.3335593367100107,-0.008610887907358422,0.0,0.3249484488026523
1993-08-01,0.3529131442710421,-0.008705640442791984,0.0,0.3442075038282501
1985-08-07,0.338272888189574,-0.007703739185780656,0.0,0.33056914900379336
2001-11-04,0.3518752069049525,-0.0056744534207417985,0.0,0.3462007534842107
1993-08-02,0.3521413500886972,-0.008351307599311741,0.0,0.34379004248938544
1993-08-03,0.35145180259944464,-0.007594636960433443,0.0,0.3438571656390112
2006-01-16,0.33884052781166984,-0.001435219259780629,0.0,0.3374053085518892
1995-10-22,0.33124812519088925,-0.002498384778131413,0.0,0.32874974041275784
2006-01-15,0.3390214237910132,-0.0016204730826189784,0.0,0.3374009507083942
2006-01-14,0.3391567993100275,-0.001672554389044567,0.0,0.33748424492098295
2001-11-05,0.3513017272657673,-0.005269383497790658,0.0,0.34603234376797665
1994-08-05,0.3297170716475484,-0.006779013614716001,0.0,0.3229380580328324
1994-08-04,0.3303849122180666,-0.007068039361028677,0.0,0.3233168728570379
1994-08-03,0.33106330632985,-0.0073904408785591125,0.0,0.32367286545129087
1994-08-02,0.3318174663191271,-0.007661585300852147,0.0,0.32415588101827497
1994-08-01,0.33257469898832165,-0.00800940653268345,0.0,0.3245652924556382
2006-08-07,0.3412227823145542,-0.008489091572127239,0.0,0.332733690742427
1995-10-18,0.33284088339383006,-0.0035561139137810227,0.0,0.32928476948004903
1987-08-09,0.36289575338736607,-0.010423084530486182,0.0,0.3524726688568799
1987-08-10,0.3618460191554585,-0.00898570635678042,0.0,0.3528603127986781
1998-05-24,0.36608795772549946,-0.00799239774242888,0.0,0.3580955599830706
